q,anchor_index,anchor_s,anchor_phase,line_period,coefficient_closure_p,coefficient_closure_2p,base_closure_p,base_closure_2p,observed_line_overlap_p,observed_signed_overlap_p,observed_line_overlap_2p,observed_signed_overlap_2p,euclidean_signed_overlap_p,euclidean_signed_overlap_2p,transport_observed_line_overlap_p,transport_observed_signed_overlap_p,transport_observed_line_overlap_2p,transport_observed_signed_overlap_2p,signed_gain_p,signed_gain_2p,log_abs_gain_p,log_abs_gain_2p,matched_eigenvalue_p_real,matched_eigenvalue_p_imag,matched_eigenvalue_p_abs,matched_eigenvector_alignment_p,matched_eigenvalue_2p_real,matched_eigenvalue_2p_imag,matched_eigenvalue_2p_abs,matched_eigenvector_alignment_2p,transport_matrix_condition_p,transport_matrix_condition_2p
522.25,20,1168.7713006013196,0.7713006013195809,0.22361111111111112,8.042042967627109e-05,3.557143414146896e-07,1.9176498246707117,0.012187005080860106,0.9999798884404343,-0.9999798884404343,0.9999218176554249,0.9999218176554249,-0.9999832805686155,0.9999348482318642,0.9999999996411906,0.9999999996411906,0.9999999818507943,0.9999999818507943,-1.000718152240878,1.0014651302342459,0.00071789449295148,0.0014640579781463447,-0.999999047462228,0.0052617647395467385,1.000012890463687,0.6406135953631351,0.9999859782045127,0.010513682648141481,1.000041246213606,0.6406021449349122,7.633793429427116,15.892478511364603
522.25,21,1169.032170166537,0.032170166537071054,0.22361111111111112,6.807003908578339e-05,4.2294587575390446e-07,1.9960642972271647,0.011889141173602836,0.9999790554141207,-0.9999790554141207,0.999917147404717,0.999917147404717,-0.9999825049429578,0.9999309181440588,0.9999999900840766,0.9999999900840766,0.9999999839335254,0.9999999839335254,-0.9993066538111739,0.9986171726930414,-0.0006935866644565509,-0.0013837842949735485,-1.000012093946118,0.005248246072468515,1.0000258657281504,0.642087141049032,0.9999859299166742,0.010513611381724026,1.000041197179197,0.64196872287855,7.633557781180158,15.892137058281623
522.25,22,1169.2930397317543,0.29303973175433384,0.22361111111111112,6.142718503515042e-05,4.5414420560635406e-07,1.9822304700241242,0.009620002660705704,0.9999866968875679,-0.9999866968875679,0.9999488287507923,0.9999488287507923,-0.9999862536163916,0.9999470861833519,0.9999999999893403,0.9999999999893403,0.9999999838195548,0.9999999838195548,-0.9988538816958099,0.997708203298372,-0.0011467756000475636,-0.0022944268870240705,-1.0000053379880316,0.005266681297799469,1.0000192067837748,0.7235255275822079,0.9999860057808598,0.010513638362588588,1.000041273322845,0.723582399074798,7.633915367432354,15.891485636095961
522.25,23,1169.5539092969718,0.553909296971824,0.22361111111111112,6.875935533700598e-05,4.217618631683365e-07,1.8889057409192886,0.012184107192597066,0.9999910286404423,-0.9999910286404423,0.9999633639263346,0.9999633639263346,-0.9999890625024956,0.9999553573032781,0.9999999973609737,0.9999999973609737,0.9999999975558076,0.9999999975558076,-0.9995059602704127,0.9990102687772182,-0.0004941618074236764,-0.0009902213301381827,-1.0000040460853838,0.0052481656506385135,1.000017817556185,0.7746499215026583,0.9999859219826581,0.010513662806867805,1.0000411897862624,0.7747022194888734,7.633529510895278,15.892959494098957
550.0,0,663.5455759548887,0.5455759548887045,0.22777777777777777,0.0006830014926589627,5.779416348135297e-06,2.2747183999699505,0.013134194691901904,0.9999839559382669,-0.9999839559382669,0.9999467909048614,0.9999467909048614,-0.9999820625215409,0.9999380122098368,0.9999999717282189,0.9999999717282189,0.999999995502767,0.999999995502767,-1.0023183601048367,1.0046039748974633,0.002315676854409076,0.004593409022638289,-1.0014088374741301,0.005893689279505993,1.001426180676645,0.7572232425692693,1.0027612442574685,0.011993685525169169,1.0028329678851124,0.7572663685351608,7.525550592320742,15.67181396290783
550.0,1,663.8064455201061,0.806445520106081,0.22777777777777777,0.0007973398488309988,5.4630705451312745e-06,2.1671564041962825,0.0170843268435921,0.9999858878813875,-0.9999858878813875,0.999952965691048,0.999952965691048,-0.9999835703447876,0.999941287360472,0.9999999999817167,0.9999999999817167,0.9999999999646949,0.9999999999646949,-1.0013713846723784,1.0028393078456956,0.0013704451832544896,0.002835284624816902,-1.0013541611923924,0.006059212089214439,1.001372493225404,0.7773409582616004,1.0027621852550825,0.011994003471424911,1.0028339126180472,0.7768216137827548,7.52088202636887,15.689676551577007
550.0,2,664.0673150853235,0.06731508532345742,0.22777777777777777,0.0009124668847280858,4.756617177726394e-06,2.110112905524627,0.01672764804151509,0.9999853607684798,-0.9999853607684798,0.999946020440572,0.999946020440572,-0.999983997975078,0.9999370757354297,0.9999999855856134,0.9999999855856134,0.9999999998671092,0.9999999998671092,-1.0006291881848173,1.0010724316774253,0.000628990328919364,0.0010718570333815714,-1.0014679500811543,0.0059518539202646345,1.0014856362448927,0.7581434954749675,1.0027613953163423,0.011993241048060174,1.0028331136174227,0.7583929789231457,7.524280258787643,15.670806501551857
550.0,3,664.3281846505408,0.3281846505408339,0.22777777777777777,0.0009489377106616978,4.196374904087535e-06,2.15570863126407,0.01487150653153362,0.9999755920684139,-0.9999755920684139,0.9999244709580484,0.9999244709580484,-0.9999766300972452,0.9999266007920956,0.9999999949800104,0.9999999949800104,0.9999999923525098,0.9999999923525098,-1.0000506294670701,1.0003073872516246,5.062818544191974e-05,0.00030734001784249877,-1.001318548791769,0.005980448805185013,1.0013364079680545,0.7023045708024682,1.0027618417036304,0.011994325400523058,1.0028335729415276,0.7025467598585122,7.522886043966085,15.68677216261396
550.0,4,664.5890542157583,0.5890542157583241,0.22777777777777777,0.0008869758124464756,4.289481608893454e-06,2.2681318777325155,0.019501252273185075,0.9999668875602303,-0.9999668875602303,0.9998944477775392,0.9998944477775392,-0.999974132830109,0.9999137618301127,0.9999999966570391,0.9999999966570391,0.9999999997070506,0.9999999997070506,-1.0009447204861328,1.0017395550582904,0.0009442745185886999,0.0017380437847651373,-1.0014707230668909,0.006037829366992972,1.001488923824715,0.6380207600384588,1.0027617963225868,0.011993172051068172,1.0028335137698319,0.638199763654017,7.521958978515818,15.677072681525768
550.0,5,664.8499237809757,0.8499237809757005,0.22777777777777777,0.0007631671733846937,5.033221408790387e-06,2.35758892563558,0.02154659987060094,0.9999714633946306,-0.9999714633946306,0.9999002323288199,0.9999002323288199,-0.9999776775240552,0.9999163772919787,0.9999999981993954,0.9999999981993954,0.9999999981277339,0.9999999981277339,-1.0021632474751887,1.0044388595785205,0.002160911024310158,0.004429036898280237,-1.0013465355023061,0.005905142483226705,1.0013639472590465,0.6482988919971785,1.0027614001865917,0.01199415923722742,1.0028331294686976,0.6472077721581051,7.524987171525212,15.678345566561328
550.0,6,665.1107933461931,0.11079334619307701,0.22777777777777777,0.0006727790460242692,5.701906155035512e-06,2.3598283794532104,0.016340770698474727,0.9999752677736922,-0.9999752677736922,0.9999286966105619,0.9999286966105619,-0.9999763206416943,0.9999275649438435,0.9999999747311505,0.9999999747311505,0.9999999992667348,0.9999999992667348,-1.0026879571558902,1.005355000969912,0.002684351059630357,0.005340713934248523,-1.0014161995938835,0.0060830233898397056,1.001434674845353,0.7147704533838526,1.0027621487051817,0.011993547117578699,1.0028338706128221,0.715440851310912,7.520468536782066,15.685702963053721
550.0,7,665.3716629114105,0.3716629114104535,0.22777777777777777,0.0007096692380450891,5.8849670559731045e-06,2.2760257800491828,0.013717137883138305,0.9999841088217445,-0.9999841088217445,0.9999483871486377,0.9999483871486377,-0.9999817984778858,0.9999382582009146,0.9999999975703564,0.9999999975703564,0.9999999996159604,0.9999999996159604,-1.002157125143946,1.004262577402186,0.0021548018899359357,0.004253518353272372,-1.0014170435961085,0.005895716709748287,1.0014343985904877,0.764612521344106,1.0027612171784677,0.01199366174915951,1.0028329405236922,0.7648235805044779,7.525534029724435,15.671222447449145
550.0,8,665.6325324766278,0.63253247662783,0.22777777777777777,0.0008352641345218751,5.330965650043382e-06,2.17126395725607,0.01809771587535135,0.9999860342610616,-0.9999860342610616,0.9999525017040776,0.9999525017040776,-0.9999838907061487,0.9999409010847972,0.9999999994238759,0.9999999994238759,0.9999999998293748,0.9999999998293748,-1.0011548454393735,1.0024241903375333,0.0011541791183282842,0.0024212567282652668,-1.0013471913349457,0.006053300222023117,1.0013654877405962,0.7765782608049656,1.0027621482179203,0.011994095936365171,1.0028338766894291,0.776048383596364,7.521018377723175,15.689862360062964
550.0,9,665.8934020418452,0.8934020418452064,0.22777777777777777,0.0009389733584526718,4.617105264746213e-06,2.134392686820263,0.016150712383420324,0.9999837937743075,-0.9999837937743075,0.9999419759078596,0.9999419759078596,-0.9999826840018091,0.9999345017706898,0.9999999872162457,0.9999999872162457,0.9999999996203013,0.9999999996203013,-1.0004869500528584,1.0007762995173939,0.00048683153115591956,0.0007759983527760857,-1.0014722857506957,0.0059609036485699166,1.0014900256612798,0.7490840666685267,1.002761407439767,0.011993240698956943,1.0028331257358054,0.7492149986573353,7.524058096670304,15.67108914838666
550.0,10,666.1542716070626,0.15427160706258292,0.22777777777777777,0.0009538540584728478,4.153844657054157e-06,2.201512400061658,0.015533030170807656,0.9999749225043637,-0.9999749225043637,0.99991709660386,0.99991709660386,-0.9999769609915334,0.999923033644957,0.9999999885739839,0.9999999885739839,0.9999999974171048,0.9999999974171048,-1.0000980697745108,1.0004054363072044,9.80649659848091e-05,0.0004053541401130191,-1.0013175389398494,0.0059705424802360815,1.0013353390178863,0.6865584825398853,1.0027617708124554,0.011994374020606872,1.002833502636942,0.686841802682072,7.5231469259432835,15.686086073681885
550.0,11,666.41514117228,0.4151411722799594,0.22777777777777777,0.0008721834729738604,4.461605145928658e-06,2.3177178563564005,0.02142629293410514,0.9999663516534586,-0.9999663516534586,0.9998921956547121,0.9998921956547121,-0.9999745186301102,0.9999132919231715,0.9999999965024464,0.9999999965024464,0.9999999997666508,0.9999999997666508,-1.0012333757562633,1.0023327169257243,0.0012326157732174435,0.0023300003654204747,-1.0014678165008968,0.006046443763568185,1.001486069283672,0.6311283055653697,1.0027618241015053,0.011993222811791795,1.002833542153827,0.631551417553755,7.521708191172634,15.678004695464942
550.0,12,666.6760107374974,0.6760107374974496,0.22777777777777777,0.0007444576111468505,5.274165302032553e-06,2.3926827780578015,0.0209305604502761,0.9999745026560268,-0.9999745026560268,0.9999068338010197,0.9999068338010197,-0.9999794812482197,0.9999191396986065,0.9999999827993561,0.9999999827993561,0.9999999943420179,0.9999999943420179,-1.0023803438862324,1.004856095927071,0.0023775153554188495,0.004844343126372033,-1.001352541067237,0.00589916265005774,1.0013699174739494,0.6616384727540569,1.0027613383998697,0.011994154089836801,1.002833067624831,0.6604947541894846,7.525167979770844,15.677340075796252
