Q,anchor_index,phase_index,phase_in_P_line_units,support_rotation_offset,PC1,PC2,harmonic_PC1,harmonic_PC2,inferred_phase_radians,inferred_phase_speed,pointwise_generator_residual
550.0,5,352,1.4666666666666666,0.3340740740740741,-0.02711076903285537,-0.010471372437121243,-0.027054744892167165,-0.010470529348735342,4.613918625634359,13.784591421864452,0.0029243115338541677
550.0,5,353,1.4708333333333334,0.33502314814814815,-0.027299196398628985,-0.010219636749984195,-0.027248651066066484,-0.010221190494386604,4.62700157887329,13.79102615840248,0.024910505856918213
550.0,5,354,1.475,0.33597222222222217,-0.027478659188834183,-0.00996444044723955,-0.027437888323882057,-0.009970100291665503,4.640096036397994,13.800846936900964,0.023119834137962814
550.0,5,355,1.4791666666666667,0.3369212962962963,-0.027658810999200797,-0.009709485153149773,-0.02762242424078396,-0.00971730176358566,4.653197630929444,13.80392491684564,0.006570190160267379
550.0,5,356,1.4833333333333334,0.3378703703703704,-0.02783874101537795,-0.009454532929266209,-0.027802227197492854,-0.009462838225873396,4.66629793091608,13.803049682165046,0.011319096185303718
550.0,5,357,1.4875,0.33881944444444445,-0.028019325981557514,-0.009199747587807446,-0.02797726638569769,-0.009206753279545989,4.679397864122443,13.79945593244546,0.03504304613514384
550.0,5,358,1.4916666666666667,0.33976851851851847,-0.02820396453691965,-0.008946224190501376,-0.02814751181333471,-0.008949090803440609,4.692491342639704,13.7894436313033,0.025973528656468327
550.0,5,359,1.4958333333333333,0.3407175925925926,-0.028369415326811493,-0.008686751256550742,-0.0283129343097263,-0.008689894946696105,4.705572271015194,13.78875854257328,0.025930829793902644
550.0,5,360,1.5,0.3416666666666667,-0.02851386827538182,-0.008420754867490159,-0.028473505530579306,-0.008429210121188186,4.718664449132551,13.799489255344632,0.039717858811305636
550.0,5,361,1.5041666666666667,0.34261574074074075,-0.028661630715998785,-0.008155780074794295,-0.028629197962841642,-0.00816708099391971,4.731765745990617,13.805170347297873,0.015212045181435012
550.0,5,362,1.5083333333333333,0.34356481481481477,-0.028810534675402732,-0.007891195086109967,-0.02877998492941658,-0.007903552479367141,4.744868707662144,13.807521616130423,0.0043388904352613935
550.0,5,363,1.5125,0.3445138888888889,-0.028958988383774066,-0.007626412788931457,-0.02892584059373362,-0.007638669731784848,4.7579744675767905,13.806398791978095,0.021414206000162608
550.0,5,364,1.5166666666666666,0.34546296296296297,-0.029108569856129342,-0.007361922046945229,-0.029066739964175557,-0.007372478137467993,4.771075297961732,13.797941824659189,0.02512292866343429
