Q,rank,output_index,output_coordinate,input_index,input_coordinate,fundamental_amplitude,fraction_of_mode_frobenius_norm,fraction_of_maximum_entry,aligned_phase_degrees
550.0,15,5,omega2,8,Delta,0.0002560861555367176,0.006799978231620855,0.011785052162620957,-90.68369791692975
550.0,16,2,omega1,2,omega1,0.00023296004873280478,0.006185899651233878,0.010720791681880604,115.49103094785842
550.0,17,4,v2,6,z,0.00020358619067483615,0.005405921542092134,0.009369010486583031,111.97068796132963
550.0,18,1,v1,1,v1,0.0001906161841787099,0.005061522753126777,0.008772132444558363,108.95089680785728
550.0,19,8,Delta,5,omega2,0.00016230844111857153,0.004309853705685211,0.0074694137252640305,141.97068061316264
550.0,20,0,y1,1,v1,0.0001623084411185715,0.0043098537056852106,0.00746941372526403,141.9706806131626
550.0,21,3,y2,4,v2,0.0001623084411185715,0.0043098537056852106,0.00746941372526403,141.9706806131626
550.0,22,6,z,7,vz,0.0001623084411185715,0.0043098537056852106,0.00746941372526403,141.9706806131626
550.0,23,8,Delta,2,omega1,0.0001623084411185715,0.0043098537056852106,0.00746941372526403,141.9706806131626
550.0,24,1,v1,2,omega1,9.342935985462681e-05,0.0024808745005141133,0.004299607204846301,76.21574679712245
550.0,25,2,omega1,1,v1,9.342935985462681e-05,0.0024808745005141133,0.004299607204846301,-103.78425320287757
550.0,26,2,omega1,0,y1,5.622014955062815e-05,0.0014928405337707798,0.0025872441001579508,157.49959776708656
550.0,27,2,omega1,3,y2,5.622014955062815e-05,0.0014928405337707798,0.0025872441001579508,-22.50040223291345
550.0,28,1,v1,8,Delta,5.622014955062814e-05,0.0014928405337707796,0.0025872441001579503,-22.500402232913455
550.0,29,7,vz,7,vz,4.869253083413267e-05,0.0012929560718371409,0.002240824048483188,-38.0293201549192
550.0,30,8,Delta,6,z,4.0577110329841096e-05,0.00107746342775424,0.001867353433626123,-38.02931920036561
550.0,31,2,omega1,6,z,2.8110074730005448e-05,0.0007464202656822883,0.001293622047993878,-22.50040237897543
550.0,32,7,vz,8,Delta,1.5481480859592433e-05,0.00041108716954200725,0.0007124557713888407,32.1274407114337
550.0,33,1,v1,3,y2,1.2038339564353825e-06,3.196597910999877e-05,5.540028488455786e-05,-90.68395827089738
550.0,34,2,omega1,8,Delta,1.2038339564353825e-06,3.196597910999877e-05,5.540028488455786e-05,89.31604172910264
550.0,35,1,v1,6,z,4.8856220492523e-07,1.2973026016659902e-05,2.2483570256508472e-05,-139.66620322054936
550.0,36,0,y1,0,y1,0.0,0.0,0.0,0.0
550.0,37,0,y1,2,omega1,0.0,0.0,0.0,0.0
550.0,38,0,y1,3,y2,0.0,0.0,0.0,0.0
550.0,39,0,y1,4,v2,0.0,0.0,0.0,0.0
550.0,40,0,y1,5,omega2,0.0,0.0,0.0,0.0
550.0,41,0,y1,6,z,0.0,0.0,0.0,0.0
550.0,42,0,y1,7,vz,0.0,0.0,0.0,0.0
550.0,43,0,y1,8,Delta,0.0,0.0,0.0,0.0
550.0,44,1,v1,4,v2,0.0,0.0,0.0,0.0
550.0,45,1,v1,5,omega2,0.0,0.0,0.0,0.0
550.0,46,1,v1,7,vz,0.0,0.0,0.0,0.0
550.0,47,2,omega1,4,v2,0.0,0.0,0.0,0.0
550.0,48,2,omega1,5,omega2,0.0,0.0,0.0,0.0
550.0,49,2,omega1,7,vz,0.0,0.0,0.0,0.0
550.0,50,3,y2,0,y1,0.0,0.0,0.0,0.0
550.0,51,3,y2,1,v1,0.0,0.0,0.0,0.0
550.0,52,3,y2,2,omega1,0.0,0.0,0.0,0.0
550.0,53,3,y2,3,y2,0.0,0.0,0.0,0.0
550.0,54,3,y2,5,omega2,0.0,0.0,0.0,0.0
550.0,55,3,y2,6,z,0.0,0.0,0.0,0.0
550.0,56,3,y2,7,vz,0.0,0.0,0.0,0.0
550.0,57,3,y2,8,Delta,0.0,0.0,0.0,0.0
550.0,58,4,v2,1,v1,0.0,0.0,0.0,0.0
550.0,59,4,v2,2,omega1,0.0,0.0,0.0,0.0
550.0,60,4,v2,7,vz,0.0,0.0,0.0,0.0
550.0,61,5,omega2,1,v1,0.0,0.0,0.0,0.0
550.0,62,5,omega2,2,omega1,0.0,0.0,0.0,0.0
550.0,63,5,omega2,7,vz,0.0,0.0,0.0,0.0
550.0,64,6,z,0,y1,0.0,0.0,0.0,0.0
550.0,65,6,z,1,v1,0.0,0.0,0.0,0.0
550.0,66,6,z,2,omega1,0.0,0.0,0.0,0.0
550.0,67,6,z,3,y2,0.0,0.0,0.0,0.0
550.0,68,6,z,4,v2,0.0,0.0,0.0,0.0
550.0,69,6,z,5,omega2,0.0,0.0,0.0,0.0
550.0,70,6,z,6,z,0.0,0.0,0.0,0.0
550.0,71,6,z,8,Delta,0.0,0.0,0.0,0.0
550.0,72,7,vz,1,v1,0.0,0.0,0.0,0.0
550.0,73,7,vz,2,omega1,0.0,0.0,0.0,0.0
550.0,74,7,vz,4,v2,0.0,0.0,0.0,0.0
550.0,75,7,vz,5,omega2,0.0,0.0,0.0,0.0
550.0,76,8,Delta,0,y1,0.0,0.0,0.0,0.0
550.0,77,8,Delta,1,v1,0.0,0.0,0.0,0.0
550.0,78,8,Delta,3,y2,0.0,0.0,0.0,0.0
550.0,79,8,Delta,4,v2,0.0,0.0,0.0,0.0
550.0,80,8,Delta,7,vz,0.0,0.0,0.0,0.0
550.0,81,8,Delta,8,Delta,0.0,0.0,0.0,0.0
