q,cell_index,center_start,cell_left,cell_right,cell_half_width,line_center_validation_radius,second_center_validation_radius,oriented_center_validation_radius,two_line_center_validation_radius,line_total_cell_radius,second_total_cell_radius,oriented_total_cell_radius,two_line_total_cell_radius,line_start_derivative_bound,second_start_derivative_bound,oriented_start_derivative_bound,two_line_start_derivative_bound,active_det_center,active_sigma_center,active_sigma_lower,active_orientation_pass,without_z_det_center,without_z_sigma_center,without_z_sigma_lower,without_z_orientation_pass,planar_separation_lower,active_norm_upper,mediation_margin_lower,mediation_pass,endpoint_separation_lower,endpoint_separation_pass,composition_enclosure_upper,all_structural_pass
550.0,10,658.8462356771108,658.7698832465553,658.9225881076663,0.07635243055551655,2554.335833615615,2362.638179180564,830593535.0839527,898322167.4963186,13358120.096268933,12355669.7849886,4343993199930.085,4698182521780.663,1497966199.6485603,1385553038.3979108,487135537681561.3,526853939818383.9,-0.2865538038290851,0.32144786332385866,-4343993199929.7637,False,0.05365615654571631,0.06086373281371204,-165048554656797.03,False,-169392520187042.47,4343993199931.0327,-173519313726976.94,False,-9042175721710.734,False,169392573871939.28,False
550.0,11,658.998940538222,658.9225881076663,659.0752929687775,0.07635243055563024,2556.7722482972154,2362.1119909705862,831397907.6895647,899195166.9704319,13379298.774465755,12360703.842275323,4350329350202.42,4705064699339.3125,1500451697.4236104,1386219559.4593022,487873968284519.94,527656052990581.56,-0.28626547873163394,0.32143601978269015,-4350329350202.0986,False,0.05363022257606037,0.060892794445182065,-165377583606079.22,False,-169727885254464.9,4350329350203.3667,-173860698137158.1,False,-9055394049541.719,False,169727938993483.8,False
550.0,12,659.151645399333,659.0752929687775,659.2279978298886,0.07635243055563024,2557.3986552787696,2361.8979539374404,831446370.2258103,899247231.3477297,13379473.23090294,12356664.082096862,4349805324441.15,4704545168425.818,1500430615.8645089,1385728271.2900674,487805017108519.3,527587417926208.25,-0.2866141850876886,0.3214364719050105,-4349805324440.8286,False,0.05364539591928101,0.06083755983423253,-165325690148287.12,False,-169675467769047.3,4349805324442.0977,-173807782827267.3,False,-9054350492866.955,False,169675521499541.25,False
550.0,13,659.3043502604442,659.2279978298886,659.3807026909997,0.07635243055551655,2554.4234183717067,2362.6863401466553,830623406.4097574,898357804.4171425,13358184.148763333,12355551.939286334,4344011223952.3394,4698219275451.97,1497968222.4049106,1385534981.124907,487135748863009.06,526856101732062.6,-0.286544530565517,0.32144787283141946,-4344011223952.018,False,0.053655778760886494,0.06086523298325937,-165047771863392.62,False,-169391755417930.0,4344011223953.287,-173518566080685.62,False,-9042230499404.297,False,169391809102723.75,False
550.0,14,659.4570551215553,659.3807026909997,659.5334075521108,0.07635243055563024,2556.817133900058,2362.023422966716,831414291.4822631,899206986.8114196,13379344.584596943,12360071.32397156,4350345917220.406,4705049770107.634,1500454358.4960947,1386146409.9975674,487874920398602.94,527653373180015.3,-0.28626677623084557,0.3214356980296368,-4350345917220.0845,False,0.053629901522508974,0.06089211971181296,-165369687170697.94,False,-169720005386472.62,4350345917221.3525,-173852834007832.9,False,-9055395687328.027,False,169720059124240.16,False
550.0,15,659.6097599826663,659.5334075521108,659.686112413222,0.07635243055563024,2557.3146491736175,2361.8629779729895,831421389.8203477,899217345.679789,13379505.439903421,12356920.000343177,4349843673612.586,4704571808862.202,1500440405.9068542,1385762719.4184747,487811531689296.4,527592802215107.75,-0.286622141244849,0.3214367932377479,-4349843673612.2646,False,0.05364610435159757,0.060836750647741925,-165329512203910.78,False,-169679328173653.56,4349843673613.5337,-173811679663586.4,False,-9054415482474.775,False,169679381904762.16,False
550.0,16,659.7624648437775,659.686112413222,659.838817274333,0.07635243055551655,2554.340389294557,2362.6880923350764,830603942.1067984,898333337.2943906,13357358.202521494,12355199.632797487,4343770923227.476,4697942201490.084,1497870471.110155,1385490739.725394,487106987626862.4,526823077821226.6,-0.2865350503874823,0.32144786468306896,-4343770923227.155,False,0.053655371814203684,0.06086674098940593,-165032860956040.97,False,-169376604211260.8,4343770923228.424,-173503186588327.8,False,-9041713124717.547,False,169376657893607.2,False
550.0,17,659.9151697048886,659.838817274333,659.9915221354441,0.07635243055563024,2556.8375462410677,2361.9702282067433,831418293.6657542,899210039.8824928,13379229.10106373,12359582.868244136,4350290891340.5283,4704982500520.219,1500438495.8324413,1386088879.3671312,487867754507875.1,527644738894221.56,-0.28626855315974914,0.32143538452469883,-4350290891340.207,False,0.05362961004246204,0.06089137978948083,-165361724624410.66,False,-169711987814663.1,4350290891341.475,-173844764161437.5,False,-9055273391860.734,False,169712041551145.72,False
550.0,18,660.0678745659997,659.9915221354441,660.1442269965553,0.07635243055563024,2557.310351273222,2361.965133229954,831417686.7182057,899215712.2472134,13379957.171156436,12357895.38507934,4349994468811.402,4704746845189.432,1500497276.1400688,1385877878.5474741,487830671334530.56,527614836064230.1,-0.2866298131571171,0.32143712390831164,-4349994468811.0806,False,0.053646811643961644,0.060836000421634166,-165348144818631.2,False,-169698111582138.0,4349994468812.3496,-173830606327509.72,False,-9054741314000.82,False,169698165316243.25,False
550.0,19,660.2205794271108,660.1442269965553,660.2969318576663,0.07635243055551655,2554.4549678187864,2362.823241442661,830642696.6141684,898378307.2639252,13357555.254807515,12355532.450966088,4343835024598.1113,4698027554087.679,1497887301.907227,1385523164.3535707,487112361041881.94,526830686957940.75,-0.28652538327473487,0.3214478388615856,-4343835024597.79,False,0.05365493644960398,0.06086825351602376,-165039741213990.44,False,-169383548570164.12,4343835024599.059,-173510191843533.22,False,-9041862578685.777,False,169383602253626.12,False
