half_steps,cell_index,cell_width,minimum_continuous_lower,left_minimum_lower,right_minimum_lower,left_first_bad_step,right_first_bad_step,maximum_reset_T_radius,maximum_reset_C_radius,maximum_local_T_tube_radius,maximum_local_C_tube_radius,maximum_short_transport_radius,maximum_local_rq,maximum_inverse_q,midpoint_T_center_gap,midpoint_C_center_gap,midpoint_T_overlap_margin,midpoint_C_overlap_margin,cell_pass
512,14,0.1527048611110331,0.0007523431383347367,0.0007666572462061999,0.0007523431383347367,-1,-1,0.06114885268290715,0.0037228678162420587,0.06168147811602973,0.003755182314295983,0.00040597373257896186,0.005671460013592525,0.0008477642537261297,4.601313157496334e-13,3.6260796527333e-14,0.12188165850302174,0.007479362842064306,True
512,15,0.15270486111114678,0.00075732067237785,0.0007663791988295701,0.00075732067237785,-1,-1,0.061090865195593244,0.003720490817844639,0.06162388612636817,0.0037528067568526574,0.0004056178971415217,0.0056716272116938615,0.0008470161345811282,3.1456851099245106e-13,3.907458590097227e-14,0.12175864443620847,0.00747192106133523,True
512,16,0.15270486111114678,0.0007355460110557414,0.0007542846951922015,0.0007355460110557414,-1,-1,0.061135716879342814,0.003718706124283,0.06166837390099175,0.0037510002540403395,0.0004054804462721386,0.0056704398551425126,0.0008467579934599656,5.687668965586495e-13,4.557840443132446e-14,0.12175001213631284,0.00747095610172176,True
512,17,0.1527048611110331,0.0007501477222816871,0.0007700946216950363,0.0007501477222816871,-1,-1,0.06121813118766446,0.003723026595553321,0.06175127742056072,0.0037552712010265376,0.0004059632313554937,0.005671623867041086,0.0008477417798110323,5.000525447411374e-13,3.1510283357952296e-14,0.12188181848721448,0.0074793680308662906,True
512,18,0.15270486111114678,0.0007538170100741085,0.0007631641031661355,0.0007538170100741085,-1,-1,0.061159495385659665,0.0037204254112072647,0.061693122861937115,0.003752663516148826,0.00040561046352387064,0.005671613594434485,0.0008470007036924909,4.905974008168128e-13,1.5236094941128484e-14,0.12189672354563591,0.007471664180660231,True
512,19,0.15270486111114678,0.000738241369907586,0.0007511581702118359,0.000738241369907586,-1,-1,0.061067799888539706,0.0037188864136255373,0.06159675323477598,0.003751183586993942,0.0004055156211506515,0.005670868001165106,0.0008468313082154448,5.307925960410929e-13,4.198033639075226e-14,0.12175070460155923,0.007471256706930702,True
512,20,0.1527048611110331,0.0007518535583214951,0.0007729273828483255,0.0007518535583214951,-1,-1,0.061185728893816245,0.0037231594105280553,0.06171435589957292,0.0037554750925241007,0.0004059913703243588,0.005671582190714036,0.0008478000144166413,5.57750474336606e-13,3.0937334620228115e-14,0.12178057926003243,0.007479522288653211,True
512,21,0.15270486111114678,0.0007500552498537967,0.0007640620741389824,0.0007500552498537967,-1,-1,0.0612286459496689,0.0037201739951724126,0.061762882563140095,0.0037524873367985375,0.000405582910152092,0.005671679167274744,0.0008469432909104893,7.528239132016738e-13,3.5899426360051275e-14,0.12193290532583194,0.007471573415979972,True
512,22,0.15270486111114678,0.0007392464344850666,0.0007488109024514667,0.0007392464344850666,-1,-1,0.06104961814502426,0.0037187259665276977,0.06158167657913214,0.003751023465561222,0.00040550291094696,0.0056712054644892235,0.000846804592311025,5.22981655744592e-13,3.0454485035187986e-14,0.12180171660050554,0.0074711753987072825,True
512,23,0.15270486111114678,0.0007557209446864866,0.0007739528440061423,0.0007557209446864866,-1,-1,0.06111803190485057,0.0037232591289505564,0.06165022812297309,0.003755575580335383,0.00040594844328010267,0.005671703697796903,0.0008477098676746756,5.000666468273732e-13,2.428618943299327e-14,0.12169548288485901,0.00747949652720768,True
512,24,0.1527048611110331,0.0007465398334336649,0.0007665746622733531,0.0007465398334336649,-1,-1,0.061296826762860225,0.0037199961052227894,0.06183165977953514,0.0037523065271284923,0.00040556301249703087,0.005671619953685918,0.0008469018974637621,3.639630711623807e-13,2.77690781371567e-14,0.12193386140368462,0.0074713338895384266,True
512,25,0.15270486111114678,0.0007364059760217588,0.0007462070851454258,0.0007364059760217588,-1,-1,0.06111715586793114,0.0037187128051596676,0.06164983947294903,0.003751010591476774,0.0004055154240138593,0.005671055660435988,0.0008468305169581955,5.2211850478704e-13,4.852373804928498e-14,0.12193769516204579,0.007471274046672594,True
