reset_steps,cell_index,step_index,physical_left,physical_right,reset_T_radius,reset_C_radius,local_T_tube_radius,local_C_tube_radius,active_center_separation,active_product_radius,active_lower,local_rq,H0_radius,H1_radius,H2_radius,inverse_q_H0,inverse_q_H1,step_pass
32,39,11,663.3223969184303,663.32716894534,0.09966246827673778,0.03702641670395532,0.14207911227961154,0.05183530754919126,0.011070819537846692,0.11955928197746664,-0.10848846243961996,0.18142790214166446,0.00673845382131622,0.0067384881057733085,0.006738387933551033,0.01109365898796031,0.011093714603617107,False
32,39,12,663.32716894534,663.3319409722496,0.11765380793203328,0.046386689984396746,0.16664117881172988,0.06461304863091881,0.011069970010638065,0.1502181230680155,-0.13914815305737746,0.1814367712199531,0.007672348659506276,0.007672378497837894,0.007672276399050513,0.013196603687648292,0.013196653950657777,False
32,39,13,663.3319409722496,663.3367129991594,0.13794559204843945,0.05718524954365288,0.19433974212559496,0.07935386124456999,0.01106910535854813,0.18629268762378898,-0.17522358226524087,0.18141302333961215,0.008614119920499099,0.008614146067871371,0.008614049116769232,0.015456167624336737,0.01545621321176716,False
32,39,14,663.3367129991594,663.3414850260691,0.16172526423461558,0.07016500973477033,0.22680308357278808,0.0970724904103277,0.011068233710790364,0.23062363782765558,-0.21955540411686525,0.1813969451526918,0.009645804285354576,0.009645843414781509,0.00964572769656069,0.018025933035628487,0.018026004513272898,False
32,39,15,663.3414850260691,663.3462570529789,0.18878915358330903,0.08524776648703856,0.26374487785367,0.11766158027782923,0.01106735701144877,0.28346050833939634,-0.2723931513279476,0.18137314314892541,0.010719331708910705,0.01071937876140086,0.01071926831315729,0.020829834466044986,0.020829923882585047,False
32,39,16,663.3462570529789,663.3510290798886,0.2198081048433066,0.10289057305018565,0.30608742512645154,0.1417457535563767,0.011066477652504396,0.3470413578253364,-0.33597488017283206,0.18138408888564095,0.011860813649152218,0.011860856616370985,0.011860738967228765,0.023925771880354687,0.02392585609656805,False
32,39,17,663.3510290798886,663.3558011067983,0.25503222850258095,0.12330764286516327,0.35417259467142576,0.16961718980226262,0.011065600487248585,0.42297690315868075,-0.4119113026714322,0.18137109811902666,0.013062108034514894,0.013062142344293341,0.013062021294080529,0.02730621817531187,0.027306286911341595,False
32,39,18,663.3558011067983,663.360573133708,0.2945181842541707,0.14660163192626585,0.40806900116166867,0.2014153159959638,0.011064729405972933,0.5126544493763067,-0.5015897199703339,0.18134652840270626,0.014306587774821692,0.014306635793415923,0.014306498602653189,0.03094124543524115,0.030941345660741946,False
32,39,19,663.360573133708,663.3653451606177,0.3392889022446328,0.173481301463967,0.46918532393712903,0.23810879574276386,0.011063867084895082,0.6201010281112741,-0.6090371610263792,0.18131644815490147,0.015635879849595018,0.015635938696832608,0.01563578817603829,0.03492458529099684,0.03492471233609178,False
32,39,20,663.3653451606177,663.3701171875275,0.38831767046074106,0.20338920542574848,0.5361076354378335,0.2789356605416022,0.011063018544626838,0.7445818573594262,-0.7335188388147994,0.18132388189045726,0.016978030738848234,0.01697808783682134,0.016977934662796026,0.03909830666232765,0.03909843281599643,False
32,39,21,663.3701171875275,663.3748892144372,0.44398563289862103,0.23790722231593642,0.6121006709307223,0.3260567095563542,0.01106218788899577,0.8945935652737483,-0.8835313773847526,0.18130916666133895,0.018441774240260674,0.01844183386968645,0.018441673449885457,0.0437112834239714,0.04371141823704085,False
