q,sample_index,start_s,active_determinant,active_sigma_min,without_z_determinant,without_z_sigma_min,planar_failure_ratio,mediation_margin_tau,oriented_vs_two_line_separation,active_derivative_frobenius,without_z_derivative_frobenius,planar_derivative_frobenius,two_line_derivative_frobenius,composition_relative_residual,line_matrix_convergence,second_matrix_convergence,oriented_matrix_convergence,two_line_matrix_convergence,composed_matrix_convergence
550.0,10,658.8462356771108,-0.2865538047766361,0.32144786399670827,0.0536561555201337,0.06086373157967607,1.0148539150606584,0.061457661255388985,0.012551947862733443,0.008999845075077069,0.008787145026071981,0.00037547547173702586,0.009145043906550097,8.247635810205972e-14,3.0273731747422206e-09,2.988510985224975e-09,4.890908889301836e-09,4.9152717449065356e-09,4.890434055726852e-09
550.0,11,658.998940538222,-0.2862654796778231,0.32143602045566194,0.05363022155118453,0.0608927932109129,1.0148815284601194,0.06143082785320486,0.012556000772715724,0.0020311659597474674,0.001858450638261153,0.00021389817355625988,0.002200200166154882,4.849441015665875e-14,3.027967365216656e-09,2.989070825007652e-09,4.902985463928933e-09,4.911456430385749e-09,4.90222939906066e-09
550.0,12,659.151645399333,-0.2866141860400513,0.3214364725778388,0.05364539489329292,0.06083755859932358,1.0148471570984465,0.061464393243302884,0.012570693708730254,0.006985953599869316,0.006931647393862232,0.00017610865975205883,0.006952244482594864,5.688207071728335e-14,3.026338117498695e-09,2.985952749513854e-09,4.898764323285099e-09,4.911220213125091e-09,4.897886681366207e-09
550.0,13,659.3043502604442,-0.2865445315166901,0.32144787350458803,0.05365577773491035,0.06086523174812758,1.0148548255318928,0.06145676262146005,0.012551525038568793,0.009162473200569945,0.008951413955097782,0.00037545493964992157,0.009298822093514323,6.193380447224303e-14,3.029209335375978e-09,2.987217767273649e-09,4.897217618692039e-09,4.903818897942163e-09,4.897305396607893e-09
550.0,14,659.4570551215553,-0.28626677718148624,0.32143569870345673,0.053629900497944756,0.060892118477141204,1.0148813722355752,0.06143097359937233,0.012556515506140748,0.002466900185272617,0.0022895563251187374,0.00022836274753440175,0.0026400578283827954,9.523867026112831e-14,3.0289474733477125e-09,2.988874848532664e-09,4.891160694988203e-09,4.9249178705575555e-09,4.89196276922426e-09
550.0,15,659.6097599826663,-0.2866221421933448,0.3214367939106827,0.05364610332544562,0.06083674941312303,1.0148464071360488,0.06146514504677203,0.012570590877973483,0.006693531778120128,0.00664822173887012,0.00016245304849029786,0.006647376853519481,5.85486496466314e-14,3.0320045493197346e-09,2.9893035886328293e-09,4.891498142054987e-09,4.918292252947056e-09,4.892454360629401e-09
550.0,16,659.7624648437775,-0.2865350513347633,0.321447865356245,0.05365537078871833,0.06086673975541077,1.0148557558212121,0.061455846049345064,0.01255111888630204,0.009301085865885223,0.00909376339209987,0.00037390602796279936,0.009434198404876281,9.186889832539657e-14,3.029073014116987e-09,2.989682370132229e-09,4.887004226346947e-09,4.920067597170071e-09,4.887463404699033e-09
550.0,17,659.9151697048886,-0.2862685541054064,0.3214353851974414,0.0536296090176633,0.060891378555349006,1.0148811686620525,0.06143116432413487,0.012557038068946737,0.0029017928805488316,0.0027192840288121595,0.00024244337507516747,0.0030785067508542047,7.484004774824608e-14,3.027631737842044e-09,2.9886809628421866e-09,4.9028213735593846e-09,4.914424324310236e-09,4.9020816756929604e-09
550.0,18,660.0678745659997,-0.28662981410614374,0.321437124581242,0.053646810617864374,0.06083599918724263,1.0148456858721093,0.06146586870140114,0.012570457169709632,0.0063796296479660345,0.006344653159673167,0.00014844392256627042,0.0063242441861169904,6.319276259501394e-14,3.027813090215051e-09,2.9883686555906905e-09,4.895736614223696e-09,4.9135443368653146e-09,4.895016648241683e-09
550.0,19,660.2205794271108,-0.28652538422571516,0.3214478395343981,0.05365493542373165,0.06086825228098333,1.0148567038100784,0.06145491332603925,0.012550726425297275,0.009422560075056395,0.009218460602507474,0.0003723308877731052,0.009551665838013021,5.58647094443264e-14,3.0264553452394437e-09,2.9863055112131955e-09,4.900899965003525e-09,4.900264704079028e-09,4.900092301037006e-09
550.0,20,660.373284288222,-0.2862708074238778,0.32143508025458317,0.053629347806474714,0.06089057493031855,1.0148809181623843,0.061431399805565334,0.01255757143987358,0.003335124798287963,0.0031470083364841944,0.0002556074137179503,0.0035166148908409058,9.688046348491051e-14,3.0293298104502932e-09,2.9892783817934182e-09,4.89217395728099e-09,4.921350883247786e-09,4.89275440299063e-09
550.0,21,660.525989149333,-0.28663718083634815,0.32143746385543637,0.05364751503454415,0.0608353101639541,1.0148449950081824,0.061466561957040367,0.01257030133856366,0.0060507924209304694,0.006025633835170838,0.00013409922853624466,0.0059892191527631195,6.649632849959524e-14,3.0306412448789486e-09,2.987923413969554e-09,4.892831300998064e-09,4.915873152360489e-09,4.893452076879602e-09
550.0,22,660.6786940104441,-0.286515550689385,0.3214477962087413,0.053654472495132124,0.06086976602878924,1.0148576673808059,0.0614539663080137,0.012550351031256181,0.009526510269944362,0.009325031102817412,0.0003702423382340433,0.009645330864255905,7.998272129585029e-14,3.0307765884530156e-09,2.990953691781535e-09,4.884135729731397e-09,4.922001151033586e-09,4.885453108273774e-09
550.0,23,660.8313988715553,-0.286273535797323,0.3214347848176138,0.053629117778899595,0.060889709044245434,1.0148806212108614,0.06143168009821809,0.012558112077590835,0.0037652106059601754,0.0035719314717039857,0.0002686060899618924,0.003948853584617899,8.514743620524239e-14,3.027667336663059e-09,2.9885001633614544e-09,4.898458133906047e-09,4.919840121346688e-09,4.8981750545270815e-09
550.0,24,660.9841037326664,-0.28664422645952503,0.32143781085769196,0.0536482151365143,0.06083468396143423,1.014844336383549,0.061467223667345805,0.01257012367205865,0.005709983715403964,0.005694124164487321,0.00012053976827597197,0.005639656812711387,5.299177301925487e-14,3.029739140442796e-09,2.9894479119123637e-09,4.894054737198876e-09,4.915178100014673e-09,4.893746583318178e-09
550.0,25,661.1368085937775,-0.28650557181608094,0.3214477353054706,0.053653982875784594,0.06087127760313306,1.0148586447023984,0.06145300727165226,0.012549998760038912,0.009603649730382175,0.009407226687801206,0.00036616554945699645,0.009717001841224177,9.904987478567949e-14,3.024799373271715e-09,2.9856122709791395e-09,4.902738377499658e-09,4.902504167501394e-09,4.901422475331832e-09
550.0,26,661.2895134548886,-0.28627673691698285,0.32143449990452416,0.05362891963846371,0.06088878228552656,1.0148802779682153,0.06143200476434041,0.012558657650874532,0.0041892114850322236,0.0039910270749927345,0.00028169570587510754,0.0043745191029217825,6.681793895032897e-14,3.0291620806234486e-09,2.9892734882170415e-09,4.8960422746481044e-09,4.916844595354275e-09,4.8960825461600956e-09
550.0,27,661.4422183159998,-0.2866509334176809,0.3214381650625135,0.05364890935677698,0.060834122375287465,1.014843711596338,0.06146785209592931,0.012569916019705949,0.005352962234620059,0.005346948295796973,0.00010777203859669633,0.005270349030921467,6.767955258833745e-14,3.0294119303134827e-09,2.9866018919810404e-09,4.894125452738141e-09,4.913391128439287e-09,4.894298082633578e-09
550.0,28,661.5949231771108,-0.28649546992188385,0.32144765666710406,0.053653467472408255,0.06087278341537905,1.0148596336310356,0.06145203844227376,0.012549662579535536,0.009661634832112296,0.009470128157612284,0.00036188953237129397,0.009770649001097908,9.206869317524021e-14,3.031572942518707e-09,2.9907386037951476e-09,4.885913600681723e-09,4.918346064091776e-09,4.887316814665968e-09
