residual_subdivisions,start_index,start,body_relative_eps,body_absolute_radius,edge_relative_eps,edge_absolute_radius,edge_factor_rows_norm,body_through_edge_term,edge_on_body_term,cross_term,active_difference_radius,propagated_center_separation,archived_center_separation,center_relative_discrepancy,endpoint_separation_lower,endpoint_pass
8,17,659.9151697048886,0.03161053091398176,0.06507597577075137,2.5950142324064772e-06,2.621399760144969e-06,0.02526587058151359,0.0016442011817895184,5.39662392070717e-06,1.7059014727664747e-07,0.0016497683958575024,0.011063831766961631,0.011063831766760086,3.242754567854494e-10,0.009414063371104127,True
8,18,660.0678745659997,0.03181945628351426,0.06548941197825818,2.6002342450316474e-06,2.626674246885147e-06,0.02526641592165735,0.0016546827215074404,5.406105948330302e-06,1.7201935188694247e-07,0.0016602608468076578,0.011079537884341595,0.011079537884312256,3.227300815577877e-10,0.009419277037533936,True
8,19,660.2205794271108,0.03200224832845939,0.0659043677545,2.591479321905566e-06,2.6178312933094682e-06,0.02526634127846699,0.0016651622474267924,5.3910748552025585e-06,1.7252651627350557e-07,0.0016707258487982687,0.011057345746033854,0.011057345746006518,3.2322805419669906e-10,0.009386619897235583,True
8,20,660.373284288222,0.03165323815847775,0.06516285935875575,2.5924221812585846e-06,2.6187813246718714e-06,0.025265871776209127,0.001646396449129472,5.391147606970013e-06,1.7064727915092927e-07,0.0016519582440155931,0.011064430561221942,0.01106443056118824,3.229291236994447e-10,0.009412472317206348,True
8,21,660.525989149333,0.031780435234076206,0.06540966698817251,2.5986199965441353e-06,2.62504365070103e-06,0.02526642929515399,0.001652668726176229,5.402796713043884e-06,1.7170323102177103e-07,0.001658243226120295,0.011079379925750477,0.011079379925738164,3.229314872435141e-10,0.00942113669963018,True
8,22,660.6786940104441,0.032043029834366125,0.06598881624457965,2.594948638422719e-06,2.621335849985411e-06,0.025266326511810513,0.0016672949773634154,5.398330014800805e-06,1.7297884972001634e-07,0.0016728662862279364,0.011056906501873012,0.011056906501357685,3.292471088008415e-10,0.009384040215645074,True
8,23,660.8313988715553,0.03169359156348503,0.06524489445781863,2.5916265486976066e-06,2.617977576052232e-06,0.025265873731126102,0.001648469264971895,5.389407202409264e-06,1.7080967064246374e-07,0.001654029481844947,0.011065038447594983,0.011065038447492528,3.2323192827305253e-10,0.009411008965750034,True
8,24,660.9841037326664,0.031740070461806755,0.06532719834315559,2.595290927189731e-06,2.6216807967421898e-06,0.025266442372623005,0.001650585892302254,5.395925683508079e-06,1.7126706140121924e-07,0.0016561530850471634,0.011079197226134601,0.011079197226097053,3.22777528993519e-10,0.009423044141087437,True
8,25,661.1368085937775,0.03208337150614574,0.06607231515981817,2.5981065569865874e-06,2.6245258381658867e-06,0.02526631127109351,0.0016694036812297565,5.404933776712496e-06,1.7340849832438243e-07,0.0016749820235047936,0.011056493411131926,0.011056493411028512,3.236515818964112e-10,0.00938151138762713,True
8,26,661.2895134548886,0.03173403822474862,0.06532712119611,2.5948210963714434e-06,2.6212045806405857e-06,0.02526587620738091,0.0016505469571254851,5.395964676999839e-06,1.7123574931930628e-07,0.0016561141575518045,0.011065652970984035,0.011065652970909131,3.2314675687079457e-10,0.009409538813432228,True
8,27,661.4422183159998,0.03169967792891949,0.0652447133836263,2.5917741596384476e-06,2.6181283354636137e-06,0.025266454805085024,0.00164850260197812,5.38866777233205e-06,1.708190328488741e-07,0.001654062088783301,0.011078980053177763,0.011078980053051985,3.229301309331443e-10,0.00942491796439446,True
