Q,rotation_number,lambda_full,lambda_open,lambda_phase,lambda_kappa,branch_closure_residual,mean_line_overlap_with_previous_rotation
550.0,641,0.1347404672727503,0.08826441345111105,0.04253019561471317,0.0039458582069261715,-9.454242944073599e-17,0.30489563112648665
550.0,642,-0.19157502538759189,-0.2399406793960921,0.044240088053261586,0.004125565955238612,1.0408340855860843e-17,0.3213547124428694
550.0,643,0.18975300764835043,0.13881351293965938,0.046622159064156274,0.00431733564453486,-8.153200337090993e-17,0.2971740333921015
550.0,644,-0.07977944009365301,-0.12483458198590278,0.04123476251042951,0.003820379381820378,-1.231653667943533e-16,0.3193937377338095
550.0,645,-0.02657188886686013,-0.07878617641865727,0.0477915484724715,0.004422739079325571,7.45931094670027e-17,0.3082771382719215
550.0,646,0.1410145076362665,0.09440978071741897,0.04264767542782832,0.003957051491019288,-8.066464163292153e-17,0.3043718562033914
550.0,647,-0.1924548171235629,-0.2406523212934953,0.044086250488666164,0.004111253681266264,-2.42861286636753e-17,0.3216029924793317
550.0,648,0.18602122674245616,0.1349438554872432,0.04674769740938539,0.00432967384582765,-6.938893903907228e-17,0.2972683812087104
550.0,649,-0.07230941514063663,-0.1173335273266871,0.041206617464892084,0.003817494721158456,-6.852157730108388e-17,0.3190050721338338
550.0,650,-0.03564267919678624,-0.0877858804226943,0.04772712750065605,0.004416073725251999,1.9081958235744878e-17,0.3088430652031628
550.0,651,0.14706945201364013,0.10033187611710168,0.0427689594349452,0.003968616461593344,-8.586881206085195e-17,0.30385851433464856
550.0,652,-0.19293233930229162,-0.24096324559520793,0.04393386836891312,0.004097037924003256,-6.505213034913027e-17,0.3218297167226381
550.0,653,0.18190768652438133,0.13069705988406125,0.04686894854815757,0.004341678092162344,1.717376241217039e-16,0.29738886383804614
550.0,654,-0.0647213346078602,-0.10972072826406284,0.04118426516714902,0.003815128489053532,9.280770596475918e-17,0.3185992319586633
550.0,655,-0.04462220687393956,-0.09668697521763736,0.04765600515710813,0.0044087631865895646,1.0581813203458523e-16,0.3094103976939775
550.0,656,0.15289295938570008,0.10601854869121842,0.042893875664918785,0.003980535029562698,1.7520707107365752e-16,0.30335667479008976
550.0,657,-0.19300991031708348,-0.2408761113846183,0.04378325382570418,0.0040829472418307845,-1.2836953722228372e-16,0.3220345182891899
550.0,658,0.1774198051925937,0.1260808591717043,0.04698562288097992,0.004353323139909391,8.847089727481716e-17,0.297535187185731
550.0,659,-0.05702740679609561,-0.10200839336721707,0.04116770714108558,0.0038132794300359263,-4.85722573273506e-17,0.31817691635471146
550.0,660,-0.05349093343203273,-0.10547009694314073,0.04757833980545557,0.004400823705652465,-3.469446951953614e-17,0.3099780311967011
550.0,661,0.15847277719392597,0.11145774655481334,0.04302224230809445,0.003992788331018238,-6.245004513516506e-17,0.3028673917016325
550.0,662,-0.19269081068297678,-0.2403945306519988,0.04363470959951304,0.0040690103695091556,-1.5785983631388945e-16,0.3222170669073617
550.0,663,0.17256601629104018,0.12110399049465734,0.04709744112926951,0.004364584667113191,1.4311468676808659e-16,0.29770699547770463
550.0,664,-0.049239781487418935,-0.09420866597672442,0.0411569388553699,0.0038119456339356025,-1.3877787807814457e-17,0.31773885681755387
550.0,665,-0.06222955618499222,-0.11411613461738168,0.04749430496189058,0.004392273470498945,-6.678685382510707e-17,0.3105448686704313
550.0,666,0.16379676921928873,0.11663754556436855,0.04315386749053656,0.004005356164383604,2.2551405187698492e-17,0.3023917009370639
550.0,667,-0.19197924469754804,-0.2395230279127852,0.043488528255465696,0.00405525495977151,-3.8163916471489756e-17,0.32237707004618366
550.0,668,0.1673557449383079,0.11577617041472178,0.04720413532175609,0.004375439201829955,7.892991815694472e-17,0.2979038738771948
550.0,669,-0.04137054879769747,-0.08633362339690816,0.0411519500051563,0.0038111245940543824,5.637851296924623e-18,0.317285817180672
