Q,rotating_phase_fraction,H_total_mean,H_total_std,H_open_mean,H_open_std,H_phase_mean,H_phase_std,H_kappa_mean,H_kappa_std,abs_delta_x_mean,abs_delta_x_std,abs_delta_Theta_mean,abs_delta_Theta_std,abs_delta_Delta_mean,abs_delta_Delta_std,delta_rho_norm_mean,delta_rho_norm_std,abs_delta_activity_mean,abs_delta_activity_std,abs_delta_kappa_mean,abs_delta_kappa_std,base_activity_mean,base_activity_std,base_Delta_mean,base_Delta_std,share_local_mean,share_local_std,share_radial_mean,share_radial_std,share_rotating_mean,share_rotating_std,cycle_overlap_signed_mean,cycle_overlap_signed_std,cycle_overlap_line_mean,cycle_overlap_line_std
522.25,0.058333333333333334,0.0005361840785854888,2.314878835736015,-0.05094849092938228,2.305264648959228,0.04623312931760195,0.036907052975697796,0.005251545690365724,0.004179779021814743,0.00880769814788667,0.004566226592154349,0.3411219718929403,0.17705697917189853,1.023365915678821,0.5311709375156956,0.020897696626075466,0.009770548346498487,0.21333264183036518,0.110728809946683,0.001545949890326366,0.0008014758658640151,4.814354742622873e-08,1.0093646930888344e-05,0.10040989174069294,3.1538999355546995,0.0022432928591179287,0.0007982786564716904,0.002088755923247609,0.00011232583292839874,0.9956679512176346,0.0006944657124979968,0.10599155195120899,0.15997331442508778,0.15985552184282728,0.10499996790592223
522.25,0.06388888888888888,-0.0023191238516862963,2.3119458909842456,-0.053800963782880115,2.3030285607738965,0.046230620119276464,0.03677827318563471,0.005251219811917114,0.004164453161929492,0.008816559207074614,0.004543588534717418,0.341102322875783,0.17708805355216523,1.023306968627349,0.5312641606564957,0.020898495440824616,0.009789681279991165,0.21332035293203358,0.11074824078086176,0.0015475052062840396,0.0007975023756485017,4.412952143250157e-08,1.0097702788654127e-05,0.007325778621973515,3.14738130908258,0.0022431363160705323,0.000794237104418622,0.0020888259114578878,0.00011133159007145576,0.9956680377724718,0.0006915620795606324,0.10602882431481976,0.15980764034931874,0.15925921998608816,0.105705355349795
522.25,0.06944444444444445,-0.004689469803566978,2.3013314374696483,-0.05619551150432948,2.2930948001819997,0.04625240702917629,0.03671881475519284,0.005253634671586119,0.004156885348234018,0.00882834897775255,0.004515760961365974,0.34091868238233963,0.17744198651261864,1.0227560471470194,0.5323259595378558,0.020916855781667038,0.009760081821950987,0.213205506721193,0.11096958293113683,0.0015495745772343714,0.0007926180082180582,3.983983192363127e-08,1.0099375761445406e-05,-0.08576115737112985,3.1511779061494303,0.0022435067945803153,0.0007915516768263063,0.002088826394064865,0.00011037498999788918,0.9956676668113549,0.0006899117206643982,0.10617021525747637,0.1592136571920254,0.15886089660433764,0.10556300774564992
522.25,0.075,-0.00614172628071948,2.286650646671018,-0.05769515666423265,2.2790071887902825,0.046295021887295146,0.03677902794005932,0.005258408496218083,0.004162860360544439,0.008828763126600534,0.0045173540641012646,0.3407528002623341,0.17802425249427978,1.0222584007870024,0.5340727574828393,0.020950527179016857,0.009694609520750465,0.21310176586669824,0.11133372284375984,0.0015496472697080882,0.0007928976337181093,3.531460471613012e-08,1.0101743233356804e-05,-0.030591761279117727,3.1459958943378625,0.0022443473514914183,0.0007914516523553048,0.002088755956285236,0.00010968292617794647,0.9956668966922232,0.0006905154402089661,0.10640331269377389,0.15842476888575452,0.15867504179467973,0.10489711681662416
522.25,0.08055555555555556,-0.006340366989909163,2.268942522522055,-0.0579592065695859,2.2617484005959496,0.04635381526131131,0.03695081431776568,0.005265024318365325,0.00418154514298773,0.008830296975770431,0.004523528734820074,0.34065741782847053,0.17865415637267604,1.0219722534854119,0.5359624691180281,0.020990220920789213,0.00960916532572096,0.21304211537208534,0.1117276559486559,0.0015499164948695509,0.0007939814278445958,3.058027559995095e-08,1.0104695577052425e-05,2.5715297394442635e-06,3.116820950796499,0.002245572725372749,0.0007939076578217604,0.0020886182121907927,0.0001093193113504256,0.995665809062436,0.0006932757306941018,0.10672160371725242,0.15749746394699346,0.15743815303614467,0.10572224165962017
522.25,0.08611111111111111,-0.00507496171614028,2.2496805956813706,-0.056769848710594636,2.242742834909979,0.046422148276323724,0.037215896211675856,0.005272738718130451,0.004210946750295973,0.008834775166026218,0.004529417621188409,0.340269238176873,0.1799537233099384,1.020807714530619,0.5398611699298151,0.021026672208394815,0.009522263138824627,0.21279935444365136,0.11254038590186534,0.0015507025183706463,0.0007950150603649673,2.566423980406218e-08,1.0108132275511113e-05,2.58279158344236e-06,3.1148550698597193,0.0022470513923513466,0.0007986587892704259,0.002088424380235722,0.00010932280315240525,0.9956645242274131,0.00069789862521482,0.10711615061155233,0.1565073133393663,0.15645536286775907,0.10614101139672175
522.25,0.09166666666666666,-0.0022849568734040573,2.2307038815745677,-0.05405753300792288,2.2237942148343417,0.046491933795608356,0.037546966184821146,0.005280642338910359,0.004248034758066993,0.008835598920237525,0.004547087526915928,0.3396372791518836,0.18173524779517622,1.0189118374556512,0.5452057433855287,0.021055833801086294,0.009441440608149809,0.21240413711114084,0.11365452584322099,0.0015508471058339355,0.000798116527781637,2.0594681258300346e-08,1.0111963814121407e-05,2.5670238544384104e-06,3.1181909386884823,0.0022486160098949457,0.0008052202046419862,0.0020881925456395366,0.00010969859561109162,0.9956631914444655,0.00070390908580028,0.10757568896724663,0.1555440912046765,0.15615830573771458,0.10564168144971167
522.25,0.09722222222222222,0.0019266424497664876,2.2140642507905985,-0.04991543677051353,2.206940572633566,0.04655434029426215,0.037910235096304805,0.005287738926017789,0.004289023768867453,0.008830708574291062,0.00457699134795358,0.33902160596893605,0.18342547068134918,1.0170648179068082,0.5502764120440476,0.02107661511260723,0.009369086642457156,0.21201910419430775,0.11471157098847404,0.0015499887397032344,0.0008033653235597475,1.540072216715603e-08,1.011611347881801e-05,-0.02758342153070379,3.1473813706271865,0.002250077675462361,0.0008129239455317707,0.002087946280287979,0.00011041374051796443,0.9956619760442497,0.0007106939229856129,0.10808687005788321,0.15470459079224597,0.15567650005734274,0.10566308963308407
522.25,0.10277777777777777,0.007293275120159137,2.2017862114544116,-0.04460038334307458,2.194220587533402,0.0466006198879549,0.038269194009074,0.005293038575278559,0.004329795539960053,0.008824156040872876,0.004609174513549441,0.33832506314497507,0.18517430798245743,1.014975189434925,0.5555229239473723,0.02108723364202233,0.009311564230640437,0.211583496832697,0.11580527215733868,0.0015488386221414014,0.0008090141957722011,1.0112419473220019e-08,1.0120519037816602e-05,-0.08876930060494767,3.153125284715634,0.002251243286220439,0.0008209919736586874,0.0020877126528053144,0.00011139829493269663,0.9956610440609742,0.0007175697353200872,0.10863467689037697,0.15408325150534338,0.15557530177191187,0.10547813129092384
522.25,0.10833333333333334,0.013400517277417593,2.1955672493858587,-0.03851814710010008,2.1873765990422545,0.0466230053742614,0.03858909339872644,0.005295659003256192,0.004366404424418589,0.008805345160383752,0.004662872490362066,0.3374527408286096,0.1870528749890895,1.0123582224858283,0.5611586249672685,0.021087976058218043,0.009271197441973099,0.21103795827107047,0.1169801076202034,0.0015455368878924726,0.0008184394031272174,4.760231095017392e-09,1.012513412244232e-05,2.654509514132819e-06,3.1597076513941675,0.0022519349167885124,0.0008286321084278989,0.00208751971485926,0.00011255318915504436,0.9956605453683522,0.0007238669370492029,0.10920301970671856,0.1537613838704559,0.15626439745094306,0.10456528915608648
522.25,0.11388888888888889,0.019670714807594282,2.1915918845399074,-0.03223654127951588,2.1826858446939497,0.0466126618350462,0.038754232219468235,0.00529459425206391,0.004385718203012199,0.008789073396730391,0.004695196255884007,0.33684333057705435,0.1877983408012003,1.0105299917311628,0.5633950224036008,0.021080056965053502,0.009225400899045125,0.21065682717794024,0.11744634315365765,0.001542680825977889,0.0008241129538012457,-6.242660728168174e-10,1.0124492316309266e-05,2.738900493174749e-06,3.1542954842634416,0.002251946315161372,0.0008332652836952586,0.0020874017644875427,0.00011350832695547422,0.9956606519203512,0.0007273795290846937,0.10978000975006617,0.15347200953052137,0.15677502632057067,0.10397557780664946
522.25,0.11944444444444445,0.025378400286523783,2.192056531758551,-0.026479159431281842,2.1824298240068027,0.046567917536808404,0.03878231448369681,0.005289642180997243,0.004389670973502943,0.008774228883991817,0.004712473072710177,0.3365038872612032,0.18758890648170284,1.0095116617836095,0.5627667194451086,0.021062103322266643,0.009193608319945036,0.21044454650743677,0.11731536694188734,0.0015400752788241575,0.0008271454252403374,-6.0025435682405635e-09,1.0120819236784242e-05,2.7528149192009486e-06,3.1365905775753804,0.0022512160247785385,0.0008351384360111032,0.00208737919770858,0.00011424965239007235,0.9956614047775133,0.0007283891419790703,0.1103440203504469,0.15337359509178383,0.15725525012094957,0.1036996175959181
522.25,0.125,0.029967721715666515,2.19913675335641,-0.02180541685314798,2.188858245872089,0.046491984911969195,0.03872084337337527,0.005281153656845272,0.004383555251471759,0.008747925776212178,0.004746391076074309,0.336255391717802,0.1870496137384121,1.0087661751534065,0.5611488412152363,0.021038140319472154,0.009186888055210046,0.2102891571199264,0.11697807572559754,0.001535458489521844,0.0008330988006513066,-1.1341798649427958e-08,1.0117330481816306e-05,0.07412819665850642,3.1452585317926567,0.002249791160012863,0.000835134316487663,0.002087456820948953,0.00011483702589459902,0.995662752019038,0.0007277344407873719,0.1108779361962792,0.15364351633061038,0.1575267082440514,0.10425789219912411
