Q,lag_rotations,continuity_signed,continuity_line_absolute,continuity_line_std
522.25,0.8611111111111112,0.8805703130231515,0.8805703130231515,0.03548444302756896
522.25,0.8666666666666667,0.9150275919254123,0.9150275919254123,0.025720148726314392
522.25,0.8722222222222222,0.9438857572484478,0.9438857572484478,0.01724731799500039
522.25,0.8777777777777778,0.9669366797900588,0.9669366797900588,0.010285859109309944
522.25,0.8833333333333333,0.984011757339598,0.984011757339598,0.005018114181849359
522.25,0.8888888888888888,0.9949846105326551,0.9949846105326551,0.001583059945386637
522.25,0.8944444444444445,0.9997731857649164,0.9997731857649164,7.177882865755448e-05
522.25,0.9,0.9983411652465166,0.9983411652465166,0.0005244383879984566
522.25,0.9055555555555556,0.9906986142790307,0.9906986142790307,0.002928928305782709
522.25,0.9111111111111111,0.9769018294288797,0.9769018294288797,0.007221247732167656
522.25,0.9166666666666666,0.957052394513869,0.957052394513869,0.013287671770143505
522.25,0.9222222222222223,0.9312954952749629,0.9312954952749629,0.020968522300959358
522.25,0.9277777777777778,0.8998175776470098,0.8998175776470098,0.03006332744605741
522.25,0.9333333333333333,0.8628434642827746,0.8628434642827746,0.04033712412432483
522.25,0.9388888888888889,0.8206330574125166,0.8206330574125166,0.05152759582552885
522.25,0.9444444444444444,0.7734777766172322,0.7734777766172322,0.06335273080730904
522.25,0.95,0.7216968555243388,0.7216968555243388,0.0755186759230389
522.25,0.9555555555555556,0.6656336097989456,0.6656336097989456,0.08772749939447318
522.25,0.9611111111111111,0.6056518464473596,0.6056518464473596,0.09968466362536116
522.25,0.9666666666666667,0.5421324854946146,0.5421324854946146,0.11110598180902606
522.25,0.9722222222222222,0.47547041318970185,0.47547041318970185,0.12172387267997263
522.25,0.9777777777777777,0.4060716721926258,0.4060716721926258,0.13129290224460274
522.25,0.9833333333333333,0.3343510118978257,0.3343510118978257,0.13959457329259733
522.25,0.9888888888888889,0.26072977503191225,0.26072977503191225,0.1464413452740827
522.25,0.9944444444444445,0.1856341110737023,0.1935516673022826,0.14143651903676263
522.25,1.0,0.1094934771400278,0.15851912897712425,0.10461540112336287
522.25,1.0055555555555555,0.03273942374793086,0.14315779799422268,0.0720772074113861
522.25,1.011111111111111,-0.04419543969514263,0.14443424296363383,0.07529282643481754
522.25,1.0166666666666666,-0.12087837010600914,0.16250736249815442,0.1103082151322601
522.25,1.0222222222222221,-0.19687735002162454,0.2011584572080672,0.14529831021685477
522.25,1.0277777777777777,-0.2717619623230081,0.2717619623230081,0.14557687908348738
522.25,1.0333333333333334,-0.34510439388193986,0.34510439388193986,0.1385151431924281
522.25,1.038888888888889,-0.41648061624909066,0.41648061624909066,0.1300219901631676
522.25,1.0444444444444445,-0.48547182170372943,0.48547182170372943,0.12028958717906271
522.25,1.05,-0.5516661388462721,0.5516661388462721,0.10954065399689585
522.25,1.0555555555555556,-0.6146606693124181,0.6146606693124181,0.09802429544241052
522.25,1.0611111111111111,-0.6740639262536617,0.6740639262536617,0.08601109938936968
522.25,1.0666666666666667,-0.7294986225021939,0.7294986225021939,0.0737874378102342
522.25,1.0722222222222222,-0.7806047558878574,0.7806047558878574,0.06164902345443582
522.25,1.0777777777777777,-0.8270430038854557,0.8270430038854557,0.04989387520692165
522.25,1.0833333333333333,-0.8684983342802203,0.8684983342802203,0.03881480852850739
522.25,1.0888888888888888,-0.9046837189368433,0.9046837189368433,0.028691629504311502
522.25,1.0944444444444446,-0.9353438415392538,0.9353438415392538,0.019783289025992815
522.25,1.1,-0.9602586628038347,0.9602586628038347,0.012320281276980271
522.25,1.1055555555555556,-0.9792467078217766,0.9792467078217766,0.006497593489307997
522.25,1.1111111111111112,-0.9921679321571075,0.9921679321571075,0.0024685269602599666
522.25,1.1166666666666667,-0.9989260250367061,0.9989260250367061,0.0003397396048754159
522.25,1.1222222222222222,-0.9994700449713072,0.9994700449713072,0.0001677466399619561
522.25,1.1277777777777778,-0.9937953112833655,0.9937953112833655,0.0019570447086183587
522.25,1.1333333333333333,-0.9819435038219161,0.9819435038219161,0.005659967305629392
522.25,1.1388888888888888,-0.9640019676410108,0.9640019676410108,0.01117828015585283
522.25,1.1444444444444444,-0.9401022616329969,0.9401022616329969,0.018366432646720835
522.25,1.15,-0.910418021603379,0.910418021603379,0.027036289514475936
522.25,1.1555555555555554,-0.8751622293078517,0.8751622293078517,0.036963082687218624
522.25,1.1611111111111112,-0.8345840324964993,0.8345840324964993,0.04789232971821156
522.25,1.1666666666666667,-0.7889652516709632,0.7889652516709632,0.05954740396400156
522.25,1.1722222222222223,-0.738616692863235,0.738616692863235,0.07163736304265873
522.25,1.1777777777777778,-0.6838744205314141,0.6838744205314141,0.08386476782424454
522.25,1.1833333333333333,-0.6250961174301262,0.6250961174301262,0.0959332541145829
