period,full_rms_half_separation_x,full_smoothed_amplitude,full_fit_mask,replay_local_log_factor,replay_cumulative_lambda,mean_local_log_factor,mean_cumulative_lambda
42.0,7.429215904868909e-09,7.380055685299915e-09,1,-1.8369658233964976,-1.8842834156808794,-1.8366726720624118,-1.8832460028366331
43.0,7.544684232933999e-09,7.427168108184189e-09,1,-1.8502675367229955,-1.8834923487283703,-1.8489700642264886,-1.8824488879852346
44.0,7.235988544394056e-09,7.473789270147484e-09,1,-1.8936707722234078,-1.8837236765350758,-1.891250885229626,-1.8826489333771526
45.0,7.779779895994317e-09,7.518169721009623e-09,1,-1.9290943143530455,-1.8847319129310307,-1.9282316958206283,-1.8836618836536743
46.0,7.379277772546141e-09,7.56767544396388e-09,1,-1.9229925377445767,-1.8855636656443686,-1.923353513071588,-1.8845247451627594
47.0,7.651118159179596e-09,7.612080556328669e-09,1,-1.87254665178141,-1.8852867079026034,-1.8742383577466997,-1.8843058858560346
48.0,7.792212847705287e-09,7.66055595480309e-09,1,-1.8369802033775329,-1.8842803223916647,-1.836398799567201,-1.8833078215583507
49.0,7.458014106218e-09,7.708763256682783e-09,1,-1.851480267866791,-1.88361093352381,-1.8497006892794026,-1.8826219617159232
50.0,8.022156888366422e-09,7.754445289354332e-09,1,-1.8959665941878814,-1.8838580467370916,-1.893013246422404,-1.8828297874100528
51.0,7.620314281944612e-09,7.805519593895109e-09,1,-1.9308423634435317,-1.8847793078489825,-1.9289666531049299,-1.8837344318354428
52.0,7.87952832253734e-09,7.851389525841172e-09,1,-1.9210782720526556,-1.8854773648528993,-1.9224819146931313,-1.8844795757365522
53.0,8.047584370409167e-09,7.9012782352563e-09,1,-1.8706590128416305,-1.8851977733055167,-1.8727421860362214,-1.884258115553527
54.0,7.687363765948312e-09,7.951136108038328e-09,1,-1.8363055057928643,-1.8842923609441713,-1.8363561133897546,-1.8833710414393832
55.0,8.27160043544207e-09,7.998158121940397e-09,1,-1.8526845176889268,-1.8837176728849852,-1.850765577197458,-1.8827782148168029
56.0,7.869603645854752e-09,8.050838416304748e-09,1,-1.8977094009818236,-1.8839675251724286,-1.8947653263427293,-1.882992270379766
57.0,8.114638392047678e-09,8.098219358011594e-09,1,-1.9309752886507379,-1.8847922227773113,-1.929810096018719,-1.8838136357418527
58.0,8.310985842230928e-09,8.149542885181008e-09,1,-1.919713128965516,-1.8853943073667632,-1.9216049119821041,-1.8844652094701329
59.0,7.924268474482537e-09,8.201094201511196e-09,1,-1.8689028167485155,-1.8851147905766232,-1.8712476136928076,-1.8842411824230594
60.0,8.528218071289144e-09,8.249502320388354e-09,1,-1.8360412634568295,-1.8842968984579602,-1.8362724359828155,-1.883441703315722
61.0,8.12736022750569e-09,8.303834455460008e-09,1,-1.8547259863845296,-1.883812129407576,-1.8521634870804826,-1.8829289456725216
62.0,8.356678986433466e-09,8.352779717136973e-09,1,-1.8990092088296073,-1.8840572435918024,-1.8965004913343118,-1.8831478415702922
63.0,8.582646517589206e-09,8.405587078370527e-09,1,-1.931956186443843,-1.8848175442719934,-1.9305515198334333,-1.8839002809078023
64.0,8.16899478286736e-09,8.458893241997583e-09,1,-1.918802985968265,-1.8853485667984977,-1.9204820710035944,-1.884471871378049
65.0,8.792254877456913e-09,8.50874527869964e-09,1,-1.8668656154984196,-1.8850642137015736,-1.8696531823736104,-1.8842438915472115
66.0,8.39389104564097e-09,8.564791521343585e-09,1,-1.836304329978972,-1.8843254275845644,-1.83625240427758,-1.8835167478007018
67.0,8.605939169943745e-09,8.615385236822084e-09,1,-1.8555575053658167,-1.8838960556111504,-1.8537235565182997,-1.8830720733039497
68.0,8.86287773080893e-09,8.669730610015295e-09,1,-1.901124709629208,-1.8841494181702396,-1.8979678053998674,-1.8832911281877132
69.0,8.42196336025986e-09,8.724858498206537e-09,1,-1.9326253483244507,-1.8848519678826194,-1.930906858888014,-1.883981211241341
70.0,9.063981743422969e-09,8.776205107452505e-09,1,-1.9165614259655905,-1.8853049601409477,-1.9191056368394213,-1.8844829887498848
71.0,8.669530486597176e-09,8.83401874366341e-09,1,-1.86504866555568,-1.8850196602172116,-1.8680355152264485,-1.8842513341932166
72.0,8.862672216173587e-09,8.88630803617189e-09,1,-1.8355165607603259,-1.8843321171691996,-1.8363194807278398,-1.8835856140061975
73.0,9.151945911863453e-09,8.94223244878127e-09,1,-1.857285482973923,-1.8839616153309082,-1.8553979776107175,-1.88319948200078
74.0,8.683409822802268e-09,8.999242032064423e-09,1,-1.9031223525074363,-1.8842205442116722,-1.8998681947849423,-1.8834247348762416
75.0,9.34360380646987e-09,9.052142239844299e-09,1,-1.9330707848912125,-1.884871880754066,-1.9314011015914305,-1.8840644197657774
76.0,8.954578403012939e-09,9.111752898201214e-09,1,-1.9155209544664897,-1.885275158039756,-1.9176912113504256,-1.884506877549786
77.0,9.127173255072966e-09,9.165800595886897e-09,1,-1.8627612857244433,-1.8849827700876092,-1.8669252623388481,-1.8842785448847086
78.0,9.449999203648024e-09,9.22334168633363e-09,1,-1.835646597392966,-1.8843502550530626,-1.835636408461363,-1.8836549277510761
79.0,8.953648311230691e-09,9.282289023019668e-09,1,-1.859267988476983,-1.8840327580077956,-1.8574518682685428,-1.883323243453829
80.0,9.631309258703529e-09,9.336753890313656e-09,1,-1.9043885821217352,-1.8842872058092197,-1.9015693690461957,-1.8835513200237337
81.0,9.249315086443125e-09,9.398222604670161e-09,1,-1.9332656229374563,-1.8848918776256178,-1.9320516686689804,-1.8841500897600947
82.0,9.39949759154291e-09,9.454087657177046e-09,1,-1.913766160126683,-1.885244003021972,-1.9161368806770578,-1.884540172576155
83.0,9.757342775430553e-09,9.513284560564414e-09,1,-1.8606342687812174,-1.8849475001997942,-1.8644233599685884,-1.8842978013399192
84.0,9.232973573765112e-09,9.57421765726832e-09,1,-1.8361682731395699,-1.884366795115744,-1.8355293068456078,-1.8837172240245108
85.0,9.92729377564037e-09,9.630335948143232e-09,1,-1.8603346833521512,-1.8840840643891137,-1.859030970934639,-1.8834267975175711
86.0,9.553980569962651e-09,9.693702518172683e-09,1,-1.9063446007070275,-1.8843429078346707,-1.9033035149879323,-1.8836579221393195
87.0,9.68008904591748e-09,9.751445086288701e-09,1,-1.9336727993221574,-1.8849099180816533,-1.9319540367123522,-1.8842130498930323
88.0,1.0074175625577807e-08,9.812335464842347e-09,1,-1.9116327903009063,-1.8852135870841449,-1.9144496581731076,-1.884556647714397
89.0,9.52168641434519e-09,9.875337766168674e-09,1,-1.8593899541903396,-1.8849234339055627,-1.8625441221476515,-1.884309315966456
90.0,1.0231745668408606e-08,9.933159828252971e-09,1,-1.8362629205345289,-1.8843827615347732,-1.8355087823634975,-1.8837670878153119
91.0,9.868992076594287e-09,9.998491274920186e-09,1,-1.862487354789923,-1.8841421526694453,-1.8606593589071698,-1.8835131567284091
92.0,9.96919935633896e-09,1.0058196192958896e-08,1,-1.9081891827605746,-1.8844035334313052,-1.9050249694232833,-1.8837469807794405
93.0,1.0400832858913887e-08,1.0120866637295387e-08,1,-1.9331028568059287,-1.8849271820697422,-1.9323700277464242,-1.8842698092414512
94.0,9.820211004538737e-09,1.018598287970616e-08,1,-1.9097671454939944,-1.8851914369997873,-1.912295032232815,-1.884567949911572
95.0,1.0545097890091057e-08,1.0245554241109889e-08,1,-1.8573257742901574,-1.8848981142344228,-1.860073023098683,-1.8843101085766996
96.0,1.0194573288648156e-08,1.0312876479899724e-08,1,-1.8365057181479187,-1.8843940267751884,-1.8354821684156633,-1.8838014842000221
97.0,1.0267056163357606e-08,1.0374598388322911e-08,1,-1.8642769935753276,-1.8841866346803442,-1.8623474632981927,-1.8835803087268073
98.0,1.073744405286307e-08,1.0439056372797576e-08,1,-1.909567365562478,-1.884445621730162,-1.906742779490458,-1.8838166604692936
99.0,1.0128820546654669e-08,1.050636247225589e-08,1,-1.9335680907337538,-1.8849418082857539,-1.9332906212296264,-1.8843163974466706
