period,full_local_log_factor,full_cumulative_lambda,full_rolling_lambda,full_x_rms_projection,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_rolling_lambda,phase_only_x_rms_projection,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_rolling_lambda,kappa_only_x_rms_projection,open_local_log_factor,open_cumulative_lambda,open_rolling_lambda,open_x_rms_projection
130.0,-0.06852524449357471,-0.008465274595461127,0.005333808990551364,0.00915552690626617,0.08538523652792819,-0.011227683803342865,0.002995954044212534,0.010016961511677235,0.12910117051796818,-0.07752693381061557,-0.043727674772691835,0.009584823527440826,-1.902476111039444,-1.8853037297031954,-1.8867343668916967,0.09388464714830122
131.0,0.16760035431437648,-0.007121262161034885,0.006529047195337678,0.009646580668072275,0.045367115557818374,-0.010795662434173695,0.0036186397776212464,0.00868351018164344,-0.2388670892253203,-0.07875853805042246,-0.04536464074953801,0.007861638241257624,-1.8508589261312742,-1.8850407922713488,-1.8865059949154293,0.10013343271073241
132.0,-0.19156632422173858,-0.008518573237252337,0.006449556511431276,0.008044267528585641,-0.1535092842745152,-0.011876826235994464,0.003140532413224123,0.008599606210705747,0.10550019689277568,-0.07736263854327703,-0.04236995067038283,0.010105729034469255,-1.8379739852506805,-1.884684225551495,-1.884815783138316,0.09719160003329394
133.0,0.16373892029548687,-0.0072234041129460285,0.005614394620218943,0.010348983316731484,0.2008205308065923,-0.010277597987553962,0.0032836625409734476,0.010160848373470727,-0.08006520220044529,-0.07738295857077454,-0.04538299115652204,0.008126082682664182,-1.8708043946788242,-1.8845798659208735,-1.8832499665636235,0.08892627720157208
134.0,-0.03570463708395663,-0.007435950627655063,0.007131838924047345,0.00825593373206526,-0.1598557392900462,-0.011393852773393456,0.003628010859916403,0.007941457502313053,-0.1283415364044956,-0.07776324646505603,-0.042977299743097455,0.008910299640174648,-1.9156682943426424,-1.8848118691180509,-1.8833197151232113,0.08337503557820315
135.0,-0.07700715799731185,-0.007951292904467337,0.005348732125172895,0.009103527916898804,0.08211448943410292,-0.010701198386671261,0.0029939629244808306,0.010000663398604573,0.12049508270872522,-0.07629466624895395,-0.04384423433151223,0.009487564254128058,-1.9333984483646096,-1.8851717697050625,-1.8851508216063237,0.08562845086077243
136.0,0.1724622285934869,-0.0066247228934529665,0.006497297846620653,0.009700618334014036,0.04844617502129343,-0.010266291229259756,0.0036152820001169816,0.008702480444313413,-0.24174296351419264,-0.07751119784649248,-0.04526195735832288,0.007892386815367452,-1.9006179735206044,-1.885285344733118,-1.8867624164216714,0.09420883760247172
137.0,-0.19019156637073825,-0.00796462686044045,0.006497249734646576,0.008026678287558986,-0.15567958070704085,-0.011327702101360347,0.0031467911076697385,0.008582859149989878,0.11639213393021779,-0.07609584505980116,-0.04242232173385654,0.010139784318200522,-1.8494957913775942,-1.885024107117384,-1.8864630840972105,0.10019492954359573
138.0,0.15793740143263374,-0.006762438249621072,0.005587962627090609,0.010330401443505886,0.20128223761676056,-0.009787050364272513,0.0032787326005151605,0.010174538121780081,-0.09512307128467938,-0.07623372351070606,-0.04545392980580685,0.008065143284697528,-1.8384993909903862,-1.8846869714932752,-1.884747933699171,0.09694136753910822
139.0,-0.027715124484326153,-0.0069131769995110365,0.007126109738493774,0.008290116128012257,-0.15793796379791453,-0.010852884273867061,0.0036319469012105867,0.007941965060997527,-0.1122596805346269,-0.07649290305764075,-0.04284588616496539,0.00900579277277966,-1.8724242260618857,-1.8845987503031212,-1.8832176379334853,0.08864010531043658
