eta_phase,eta_kappa,lambda_per_reference_period,block_standard_error,second_minus_first_drift
0.25,0.0,-0.03447375981828494,0.00029201322769791265,0.0018015993758774412
0.25,0.0625,-0.03432366094911114,0.0002807717099685181,0.0016362592800161432
0.25,0.125,-0.0341764474727445,0.0002681004646765133,0.00145734770352611
0.25,0.1875,-0.03403137033071035,0.00025410928985424675,0.0012676774382326741
0.25,0.25,-0.03388757872445878,0.00023899824937488725,0.001070233627807081
0.25,0.3125,-0.03374412271504147,0.00022307069599832895,0.0008681512365113497
0.25,0.375,-0.033599962759666806,0.00020674390890994406,0.0006646827504562455
0.25,0.4375,-0.033453988297505816,0.00019055267372152483,0.0004631515849117737
0.25,0.5,-0.033305047078785045,0.0001751373799670364,0.00026688738004135987
0.25,0.5625,-0.03315198594375728,0.0001612031796979915,7.914127536891996e-05
0.25,0.625,-0.03299370213811619,0.00014943409716013063,-9.701752478226411e-05
0.25,0.6875,-0.03282920211820272,0.0001403563796088496,-0.0002588182984642612
0.25,0.75,-0.03265766253038832,0.0001341812951822978,-0.00040390829006235057
0.25,0.8125,-0.03247848626239148,0.00013070505129961086,-0.0005304613269716124
0.25,0.875,-0.032291345852353756,0.0001293430235444146,-0.00063726048054423
0.25,0.9375,-0.0320962075953378,0.00012929314160421498,-0.0007237417302033144
0.25,1.0,-0.03189333240405786,0.00012973650943473775,-0.0007899909675099584
0.3333333333333333,0.0,-0.03049829154622738,0.00021090721408571254,0.0008205350725499529
0.3333333333333333,0.0625,-0.030354033222322618,0.00019426169671927723,0.0006223516900091715
0.3333333333333333,0.125,-0.030207420773422696,0.00017794484588000347,0.0004271568004644531
0.3333333333333333,0.1875,-0.0300573126122246,0.00016261932100461928,0.0002382019609677953
0.3333333333333333,0.25,-0.029902586890530505,0.00014899770634948107,5.8631242718397425e-05
0.3333333333333333,0.3125,-0.029742196020492398,0.00013774392861961131,-0.00010862999315746497
0.3333333333333333,0.375,-0.029575226525509767,0.0001293229599616302,-0.00026099515556919986
0.3333333333333333,0.4375,-0.029400958123782704,0.00012384174715695953,-0.00039633350956916336
0.3333333333333333,0.5,-0.029218914622093348,0.00012097325189579209,-0.0005130697945295547
0.3333333333333333,0.5625,-0.02902889927408969,0.00012003420577133695,-0.0006102519912668802
0.3333333333333333,0.625,-0.02883100903301868,0.00012018117324001392,-0.0006875763604420743
0.3333333333333333,0.6875,-0.028625625346889155,0.00012061240597460859,-0.0007453652651780787
0.3333333333333333,0.75,-0.028413383005462995,0.00012069315469177795,-0.000784500971209013
0.3333333333333333,0.8125,-0.02819512199578802,0.00011999559395747455,-0.0008063254745301653
0.3333333333333333,0.875,-0.027971829466040127,0.00011828389597329414,-0.0008125206597990528
0.3333333333333333,0.9375,-0.027744579347254557,0.00011547585004135707,-0.0008049839648183212
0.3333333333333333,1.0,-0.027514476124938583,0.00011160026610890141,-0.0007857125887264782
0.41666666666666663,0.0,-0.026488868753642748,0.00012630948243016758,-0.0001673172561955684
0.41666666666666663,0.0625,-0.026317600358290387,0.00011941349941131038,-0.0003066264046365924
0.41666666666666663,0.125,-0.026138743979753194,0.00011535405146775814,-0.00042825012174161486
0.41666666666666663,0.1875,-0.02595201112826056,0.00011358550566655055,-0.0005310219781001491
0.41666666666666663,0.25,-0.025757400320705566,0.0001133014687970579,-0.0006144085262348789
0.41666666666666663,0.3125,-0.025555196044773073,0.00011365530880131996,-0.000678504315587497
0.41666666666666663,0.375,-0.025345945300350954,0.00011392867696296661,-0.0007239817633655637
0.41666666666666663,0.4375,-0.025130415488324787,0.0001136060206908872,-0.0007520035774311699
0.41666666666666663,0.5,-0.024909540017002324,0.00011237677318224219,-0.000764110595707912
0.41666666666666663,0.5625,-0.02468435902274365,0.00011010177487265082,-0.0007620999312263448
0.41666666666666663,0.625,-0.024455962046385525,0.0001067696391316695,-0.0007479071781183941
0.41666666666666663,0.6875,-0.024225437825361316,0.00010245579369151276,-0.0007235030507432225
0.41666666666666663,0.75,-0.02399383420628765,9.72888802864246e-05,-0.0006908105018595366
0.41666666666666663,0.8125,-0.023762129140558266,9.142530758684034e-05,-0.0006516442686394751
0.41666666666666663,0.875,-0.023531212161503185,8.503114747026195e-05,-0.0006076716575409598
0.41666666666666663,0.9375,-0.023301874778502756,7.827003269247028e-05,-0.0005603914453188898
0.41666666666666663,1.0,-0.023074807805343076,7.129565827513369e-05,-0.0005111269317809759
0.5,0.0,-0.022269665586286163,0.00010867570071918812,-0.0006790905206247658
0.5,0.0625,-0.022055983395780483,0.00010853027229927778,-0.0007104848091374905
0.5,0.125,-0.021836808772554856,0.00010756327877758094,-0.0007259323403385962
0.5,0.1875,-0.021613155085061366,0.00010559865997224221,-0.000727156621312959
0.5,0.25,-0.021386095630013865,0.00010259827200814592,-0.0007160407862972402
0.5,0.3125,-0.021156712558823024,9.86192542298877e-05,-0.0006945226611460367
0.5,0.375,-0.020926055257212906,9.37784910533421e-05,-0.0006645089215816212
0.5,0.4375,-0.02069510951012846,8.822543138759356e-05,-0.0006278110414634427
0.5,0.5,-0.02046477714742754,8.212257056321547e-05,-0.0005861024433468816
0.5,0.5625,-0.02023586480258382,7.563224787173828e-05,-0.0005408941287258079
0.5,0.625,-0.02000907990313015,6.890832182857636e-05,-0.0004935250320018299
0.5,0.6875,-0.019785031920472287,6.20914235730242e-05,-0.0004451631553057424
0.5,0.75,-0.01956423708269536,5.5306708454071004e-05,-0.00039681388982626756
0.5,0.8125,-0.019347125060976206,4.8663257498940544e-05,-0.0003493325408343191
0.5,0.875,-0.019134046480655306,4.2254491315973026e-05,-0.00030343875270111634
0.5,0.9375,-0.01892528042335756,3.615913538583023e-05,-0.00025973115959924964
0.5,1.0,-0.01872104134906167,3.044241469047437e-05,-0.000218701111552963
0.5833333333333333,0.0,-0.017849694686318165,9.053197371907284e-05,-0.0006406294371789009
0.5833333333333333,0.0625,-0.017619499545869353,8.517943780289792e-05,-0.0006054690764689119
0.5833333333333333,0.125,-0.01738983922575064,7.927522572055188e-05,-0.0005652607380879672
0.5833333333333333,0.1875,-0.01716152385978421,7.297988488434627e-05,-0.000521510431036442
0.5833333333333333,0.25,-0.016935265819905947,6.644627606992847e-05,-0.0004755550845447383
0.5833333333333333,0.3125,-0.016711680436620725,5.9814551683379223e-05,-0.00042856262362805583
0.5833333333333333,0.375,-0.01649129029796447,5.320970587342954e-05,-0.00038153944859613265
0.5833333333333333,0.4375,-0.016274531633677144,4.67408324600159e-05,-0.0003353423304669305
0.5833333333333333,0.5,-0.016061761622172852,4.0501440080587664e-05,-0.00029069239393572296
0.5833333333333333,0.5625,-0.015853265769484034,3.457035263230127e-05,-0.0002481894811846609
0.5833333333333333,0.625,-0.015649264771740445,2.9012864183344838e-05,-0.00020832571336797806
0.5833333333333333,0.6875,-0.015449920476936961,2.3881923824158045e-05,-0.0001714974739004914
0.5833333333333333,0.75,-0.015255340710932853,1.9219202838149814e-05,-0.00013801533491041192
0.5833333333333333,0.8125,-0.015065582835872698,1.5055950301440086e-05,-0.00010811165336050213
0.5833333333333333,0.875,-0.014880655977599494,1.1413579863495046e-05,-8.194569837733506e-05
0.5833333333333333,0.9375,-0.014700521903175725,8.303955766877881e-06,-5.960625816953634e-05
0.5833333333333333,1.0,-0.014525094560592753,5.729366260602809e-06,-4.111173393987928e-05
0.6666666666666666,0.0,-0.013412446481106396,5.100032750136275e-05,-0.0003655375319862684
0.6666666666666666,0.0625,-0.013196338821007085,4.46893889585283e-05,-0.0003204889364835685
0.6666666666666666,0.125,-0.012984203795426091,3.861014711265897e-05,-0.0002770040272047254
0.6666666666666666,0.1875,-0.012776327148422938,3.284045364471992e-05,-0.0002356751380814051
0.6666666666666666,0.25,-0.012572930192886942,2.7444702569596993e-05,-0.00019698752659792762
0.6666666666666666,0.3125,-0.012374175679460843,2.2474991624265423e-05,-0.00016133114822963236
0.6666666666666666,0.375,-0.012180172548175171,1.797216874393553e-05,-0.0001290104082468605
0.6666666666666666,0.4375,-0.011990979428537439,1.3966669904569749e-05,-0.00010025161378639409
0.6666666666666666,0.5,-0.01180660682177407,1.047909121864515e-05,-7.520798331872754e-05
0.6666666666666666,0.5625,-0.011627017943367879,7.520463893785694e-06,-5.3962157377650255e-05
0.6666666666666666,0.625,-0.011452128235048473,5.092222340038621e-06,-3.65262136641422e-05
