period,full_local_log_factor,full_cumulative_lambda,full_x_rms_half_separation,full_end_local_norm,phase_only_local_log_factor,phase_only_cumulative_lambda,phase_only_x_rms_half_separation,phase_only_end_local_norm,kappa_only_local_log_factor,kappa_only_cumulative_lambda,kappa_only_x_rms_half_separation,kappa_only_end_local_norm,open_local_log_factor,open_cumulative_lambda,open_x_rms_half_separation,open_end_local_norm
15.0,-0.0227758578708076,-0.32225837722725,7.947062975888951e-07,9.774815540186658e-07,-0.0674062267975322,-0.3308949248867196,7.785090684519773e-07,9.348153771386122e-07,0.06883787248123617,-0.5423045634398971,8.36738996883899e-07,1.071262513936082e-06,-1.7372740324820521,-1.8744013453725514,3.3214974230730047e-07,1.7599951625814105e-07
16.0,-0.17093302984217087,-0.31280054301568255,7.658165010303391e-07,8.428780192563305e-07,-0.12632694020046661,-0.3181094258438288,7.808319275297139e-07,8.813266585622803e-07,-0.33275137246030334,-0.5292074890036724,7.099550185417275e-07,7.169484251219619e-07,-0.8658541269065385,-1.8113671442184256,3.6012321219276964e-07,4.2069207470933853e-07
17.0,0.2912952342206062,-0.27726549729590083,9.566304788269402e-07,1.3381595961433596e-06,0.26117719305894294,-0.28403374237895984,9.371548733181661e-07,1.2984577227479086e-06,0.2821779035426385,-0.48147893650094825,9.647156316e-07,1.3260146017006326e-06,-0.02347936897631912,-1.7061972750865368,7.066035657885708e-07,9.76794126724701e-07
18.0,-0.3002497873264555,-0.27854240229759836,7.155782345788371e-07,7.406331967889988e-07,-0.3174628545935564,-0.2858909152797708,7.127465181829662e-07,7.27993721895498e-07,-0.2809452341920975,-0.4703381752615676,7.124742020808552e-07,7.550696863500416e-07,-0.1012226357591205,-1.617032017346125,7.476631304969511e-07,9.037318074706151e-07
19.0,0.2277919730333428,-0.2518932246486014,9.372210385254947e-07,1.2558240529902869e-06,0.2646519632086936,-0.2569149743066937,9.567313637846486e-07,1.3029774127780568e-06,0.05669403191090771,-0.44259963804196367,8.531531769351211e-07,1.0583319450500025e-06,-0.23688469531522185,-1.5443926846076563,7.371227049026651e-07,7.890822676552448e-07
20.0,-0.01030697628403274,-0.23981391223037302,7.99523630830373e-07,9.897459585748087e-07,-0.06264404928640632,-0.24720142805567935,7.801959956441565e-07,9.392777507791111e-07,0.04598173629384984,-0.418170569325173,8.25974361978318e-07,1.0470552876732567e-06,0.23751809507323474,-1.455297145623612,9.322188940095548e-07,1.2680979429095268e-06
21.0,-0.1836964489791636,-0.23714165207555352,7.6149765855757e-07,8.321883771225273e-07,-0.13177927379395743,-0.24170513499559734,7.788933957191249e-07,8.765344478525561e-07,-0.318027105914962,-0.4134018329723058,7.145135845065185e-07,7.275830663433079e-07,-0.3586407523713673,-1.4030754126116003,6.960324699024498e-07,6.986252857529887e-07
22.0,0.29783925976059095,-0.21282433790118335,9.612342441110176e-07,1.3469452621752577e-06,0.26438713529034563,-0.21870094089169087,9.392358423879422e-07,1.302632393669539e-06,0.27966128163572324,-0.38189896412648633,9.620141349071446e-07,1.322681719865858e-06,0.19193908756802452,-1.3305747535125265,9.197603311270458e-07,1.2115967134159707e-06
23.0,-0.29508300411195454,-0.21640080164947773,7.164178619599144e-07,7.444697908481363e-07,-0.31638914451448685,-0.22294825409268199,7.128257801638464e-07,7.287757958774203e-07,-0.2978580871676882,-0.37824501295436463,7.085024912164486e-07,7.424066893091198e-07,-0.09279141064538653,-1.2767580864313464,7.693091472644593e-07,9.113835853853805e-07
24.0,0.21620276285597623,-0.19837565312841712,9.311298283832621e-07,1.2413540539791446e-06,0.261027930712264,-0.20278257972580924,9.547747495940707e-07,1.2982639263647592e-06,0.08389281524992916,-0.3589892701125191,8.658064015192704e-07,1.0875123228261885e-06,-0.19654188970146655,-1.2317490782342682,7.527769867339063e-07,8.215669153824241e-07
