Q,segment_index,orientation_used_for_line_alignment,signed_overlap_with_previous_segment,line_overlap_with_previous_segment
522.25,93,1.0,-0.999985831795371,0.999985831795371
522.25,94,-1.0,-0.9999857403102499,0.9999857403102499
522.25,95,1.0,-0.9999858331238055,0.9999858331238055
522.25,96,-1.0,-0.9999857392678498,0.9999857392678498
522.25,97,1.0,-0.9999858315265695,0.9999858315265695
522.25,98,-1.0,-0.9999857394593838,0.9999857394593838
522.25,99,1.0,-0.9999858341929162,0.9999858341929162
522.25,100,-1.0,-0.9999857396993003,0.9999857396993003
522.25,101,1.0,-0.999985831753381,0.999985831753381
522.25,102,-1.0,-0.9999857393310538,0.9999857393310538
522.25,103,1.0,-0.9999858329097154,0.9999858329097154
522.25,104,-1.0,-0.9999857415127757,0.9999857415127757
522.25,105,1.0,-0.9999858311735672,0.9999858311735672
522.25,106,-1.0,-0.9999857397889066,0.9999857397889066
522.25,107,1.0,-0.9999858309531763,0.9999858309531763
522.25,108,-1.0,-0.9999857437707035,0.9999857437707035
522.25,109,1.0,-0.9999858307217092,0.9999858307217092
522.25,110,-1.0,-0.9999857412442325,0.9999857412442325
522.25,111,1.0,-0.9999858296157164,0.9999858296157164
522.25,112,-1.0,-0.9999857433099026,0.9999857433099026
522.25,113,1.0,-0.9999858317522142,0.9999858317522142
522.25,114,-1.0,-0.9999857417857467,0.9999857417857467
522.25,115,1.0,-0.9999858289915323,0.9999858289915323
522.25,116,-1.0,-0.9999857420435846,0.9999857420435846
522.25,117,1.0,-0.9999858333802302,0.9999858333802302
522.25,118,-1.0,-0.9999857423027867,0.9999857423027867
522.25,119,1.0,-0.9999858298072664,0.9999858298072664
522.25,120,-1.0,-0.9999857413767012,0.9999857413767012
550.0,1,1.0,nan,nan
550.0,2,-1.0,-0.9999783159579185,0.9999783159579185
550.0,3,1.0,-0.999979225221567,0.999979225221567
550.0,4,-1.0,-0.9999782968436517,0.9999782968436517
550.0,5,1.0,-0.9999792105297008,0.9999792105297008
550.0,6,-1.0,-0.9999782773229374,0.9999782773229374
550.0,7,1.0,-0.9999791956414691,0.9999791956414691
550.0,8,-1.0,-0.999978257011963,0.999978257011963
550.0,9,1.0,-0.9999791827114929,0.9999791827114929
550.0,10,-1.0,-0.9999782370561511,0.9999782370561511
550.0,11,1.0,-0.9999791697859266,0.9999791697859266
550.0,12,-1.0,-0.9999782160558429,0.9999782160558429
550.0,13,1.0,-0.9999791566269055,0.9999791566269055
550.0,14,-1.0,-0.9999781949430194,0.9999781949430194
550.0,15,1.0,-0.9999791428481297,0.9999791428481297
550.0,16,-1.0,-0.9999781735428177,0.9999781735428177
550.0,17,1.0,-0.9999791272531336,0.9999791272531336
550.0,18,-1.0,-0.9999781549387311,0.9999781549387311
550.0,19,1.0,-0.9999791119355673,0.9999791119355673
550.0,20,-1.0,-0.9999781365464258,0.9999781365464258
550.0,21,1.0,-0.999979095314001,0.999979095314001
550.0,22,-1.0,-0.9999781181178963,0.9999781181178963
550.0,23,1.0,-0.9999790788511466,0.9999790788511466
550.0,24,-1.0,-0.9999780990968811,0.9999780990968811
550.0,25,1.0,-0.999979061804017,0.999979061804017
550.0,26,-1.0,-0.9999780773519158,0.9999780773519158
550.0,27,1.0,-0.9999790482344473,0.9999790482344473
550.0,28,-1.0,-0.999978055967143,0.999978055967143
550.0,29,1.0,-0.9999790348831347,0.9999790348831347
550.0,30,-1.0,-0.9999780332110724,0.9999780332110724
550.0,31,1.0,-0.9999790215833362,0.9999790215833362
550.0,32,-1.0,-0.9999780111174962,0.9999780111174962
550.0,33,1.0,-0.9999790075671814,0.9999790075671814
550.0,34,-1.0,-0.9999779883822664,0.9999779883822664
550.0,35,1.0,-0.999978989705839,0.999978989705839
550.0,36,-1.0,-0.9999779698701905,0.9999779698701905
550.0,37,1.0,-0.9999789720459499,0.9999789720459499
550.0,38,-1.0,-0.9999779518255234,0.9999779518255234
550.0,39,1.0,-0.9999789527302447,0.9999789527302447
550.0,40,-1.0,-0.9999779340497678,0.9999779340497678
550.0,41,1.0,-0.9999789344278682,0.9999789344278682
550.0,42,-1.0,-0.9999779156871647,0.9999779156871647
550.0,43,1.0,-0.9999789152728631,0.9999789152728631
550.0,44,-1.0,-0.9999778926374057,0.9999778926374057
550.0,45,1.0,-0.9999789010577544,0.9999789010577544
550.0,46,-1.0,-0.9999778697224685,0.9999778697224685
550.0,47,1.0,-0.9999788870952314,0.9999788870952314
550.0,48,-1.0,-0.9999778449786809,0.9999778449786809
550.0,49,1.0,-0.9999788735148449,0.9999788735148449
550.0,50,-1.0,-0.9999778218692124,0.9999778218692124
550.0,51,1.0,-0.9999788593039288,0.9999788593039288
550.0,52,-1.0,-0.9999777979655365,0.9999777979655365
550.0,53,1.0,-0.9999788393455423,0.9999788393455423
550.0,54,-1.0,-0.9999777798227195,0.9999777798227195
550.0,55,1.0,-0.999978819227253,0.999978819227253
550.0,56,-1.0,-0.9999777619878419,0.9999777619878419
550.0,57,1.0,-0.9999787968270304,0.9999787968270304
550.0,58,-1.0,-0.9999777447604369,0.9999777447604369
550.0,59,1.0,-0.9999787764788205,0.9999787764788205
550.0,60,-1.0,-0.9999777271149671,0.9999777271149671
550.0,61,1.0,-0.9999787552272953,0.9999787552272953
