Q,lag_support_rotations,lag_line_strokes,signed_overlap,line_overlap_absolute
550.0,0.043055555555555555,0.18902439024390244,0.8253415299300157,0.8253415299300157
550.0,0.044444444444444446,0.1951219512195122,0.8143124604268978,0.8143124604268978
550.0,0.04583333333333333,0.20121951219512194,0.8029857810410329,0.8029857810410329
550.0,0.04722222222222222,0.2073170731707317,0.7913661029390772,0.7913661029390772
550.0,0.04861111111111111,0.21341463414634146,0.779458135716595,0.779458135716595
550.0,0.05,0.21951219512195125,0.7672666807728241,0.7672666807728241
550.0,0.05138888888888889,0.22560975609756098,0.7547966283982901,0.7547966283982901
550.0,0.05277777777777778,0.23170731707317074,0.7420529535937961,0.7420529535937961
550.0,0.05416666666666667,0.2378048780487805,0.7290407262495017,0.7290407262495017
550.0,0.05555555555555555,0.24390243902439024,0.7157650975285167,0.7157650975285167
550.0,0.05694444444444444,0.25,0.7022312963278274,0.7022312963278274
550.0,0.058333333333333334,0.25609756097560976,0.6884446219196655,0.6884446219196655
550.0,0.059722222222222225,0.2621951219512195,0.6744104488286561,0.6744104488286561
550.0,0.06111111111111111,0.2682926829268293,0.6601342279048891,0.6601342279048891
550.0,0.0625,0.27439024390243905,0.6456214775450968,0.6456214775450968
550.0,0.06388888888888888,0.28048780487804875,0.6308777804933918,0.6308777804933918
550.0,0.06527777777777778,0.28658536585365857,0.6159087675476896,0.6159087675476896
550.0,0.06666666666666667,0.2926829268292683,0.600720142186682,0.600720142186682
550.0,0.06805555555555555,0.29878048780487804,0.5853176658489487,0.5853176658489487
550.0,0.06944444444444445,0.3048780487804878,0.5697071547706278,0.5697071547706278
550.0,0.07083333333333333,0.31097560975609756,0.553894469309807,0.553894469309807
550.0,0.07222222222222222,0.31707317073170727,0.5378855158214039,0.5378855158214039
550.0,0.07361111111111111,0.3231707317073171,0.5216862563666379,0.5216862563666379
550.0,0.075,0.32926829268292684,0.5053026990436275,0.5053026990436275
550.0,0.0763888888888889,0.3353658536585366,0.4887408957946378,0.4887408957946378
550.0,0.07777777777777778,0.34146341463414637,0.4720069197331391,0.4720069197331391
550.0,0.07916666666666666,0.3475609756097561,0.4551068956671197,0.4551068956671197
550.0,0.08055555555555556,0.3536585365853659,0.43804698646861123,0.43804698646861123
550.0,0.08194444444444444,0.3597560975609756,0.4208333904720827,0.4208333904720827
550.0,0.08333333333333333,0.36585365853658536,0.4034723323906316,0.4034723323906316
550.0,0.08472222222222223,0.3719512195121952,0.385970059809282,0.385970059809282
550.0,0.08611111111111111,0.3780487804878049,0.36833285797391085,0.36833285797391085
550.0,0.0875,0.38414634146341464,0.3505670405628301,0.3505670405628301
550.0,0.08888888888888889,0.3902439024390244,0.33267894952876975,0.33267894952876975
550.0,0.09027777777777778,0.39634146341463417,0.31467493175421124,0.31467493175421124
550.0,0.09166666666666666,0.40243902439024387,0.2965613669531654,0.2965613669531654
550.0,0.09305555555555556,0.4085365853658537,0.2783446569624456,0.2783446569624456
550.0,0.09444444444444444,0.4146341463414634,0.2600312236791067,0.2600312236791067
550.0,0.09583333333333334,0.4207317073170732,0.24162750554536433,0.24162750554536433
550.0,0.09722222222222222,0.4268292682926829,0.22313994690215444,0.22313994690215444
550.0,0.09861111111111111,0.4329268292682927,0.20457501449752383,0.2045753850995838
550.0,0.1,0.4390243902439025,0.1859391895856675,0.18945125489147194
550.0,0.10138888888888889,0.4451219512195122,0.16723897035693544,0.1772748365688219
550.0,0.10277777777777777,0.45121951219512196,0.1484808521770914,0.1670286785158083
550.0,0.10416666666666667,0.4573170731707317,0.1296713467034406,0.15837104126884172
550.0,0.10555555555555556,0.4634146341463415,0.11081697501211506,0.1511131549022426
550.0,0.10694444444444444,0.4695121951219512,0.091924265892804,0.1451363176995753
550.0,0.10833333333333334,0.475609756097561,0.07299976008830673,0.1403599075720896
550.0,0.10972222222222222,0.4817073170731707,0.05404999197162383,0.13672814239112216
550.0,0.1111111111111111,0.4878048780487805,0.035081505147134616,0.1342028608203251
550.0,0.1125,0.49390243902439024,0.01610084621335206,0.13275966674435058
550.0,0.11388888888888889,0.5,-0.0028854303214092005,0.13238491944790098
550.0,0.11527777777777778,0.5060975609756098,-0.021870775778262165,0.13307551759485947
550.0,0.11666666666666667,0.5121951219512195,-0.04084864004338953,0.13483783817218975
550.0,0.11805555555555555,0.5182926829268293,-0.059812474618430936,0.1376888867178253
550.0,0.11944444444444445,0.524390243902439,-0.07875573424384741,0.14165727907506528
550.0,0.12083333333333333,0.5304878048780488,-0.09767186499812561,0.14678611289901203
550.0,0.12222222222222222,0.5365853658536586,-0.11655432900482361,0.1531382243974428
550.0,0.12361111111111112,0.5426829268292683,-0.13539659169611704,0.16080404265913512
550.0,0.125,0.5487804878048781,-0.1541921264587364,0.1699202607284885
550.0,0.12638888888888888,0.5548780487804877,-0.17293440814453107,0.1807094332621503
550.0,0.12777777777777777,0.5609756097560975,-0.19161691995804284,0.19360990265703584
550.0,0.12916666666666668,0.5670731707317074,-0.21023315804106144,0.21023315804106144
550.0,0.13055555555555556,0.5731707317073171,-0.2287766314734111,0.2287766314734111
550.0,0.13194444444444445,0.5792682926829269,-0.2472408641102135,0.2472408641102135
550.0,0.13333333333333333,0.5853658536585366,-0.26561937762037535,0.26561937762037535
550.0,0.13472222222222222,0.5914634146341463,-0.28390571894391115,0.28390571894391115
550.0,0.1361111111111111,0.5975609756097561,-0.30209345199596405,0.30209345199596405
550.0,0.1375,0.603658536585366,-0.3201761610034305,0.3201761610034305
550.0,0.1388888888888889,0.6097560975609756,-0.3381474441812761,0.3381474441812761
550.0,0.14027777777777778,0.6158536585365854,-0.35600091423110514,0.35600091423110514
550.0,0.14166666666666666,0.6219512195121951,-0.3737302120212784,0.3737302120212784
550.0,0.14305555555555555,0.6280487804878049,-0.3913290048524913,0.3913290048524913
550.0,0.14444444444444443,0.6341463414634145,-0.4087909887514269,0.4087909887514269
550.0,0.14583333333333334,0.6402439024390244,-0.4261098712486174,0.4261098712486174
550.0,0.14722222222222223,0.6463414634146342,-0.44327939589488047,0.44327939589488047
550.0,0.1486111111111111,0.6524390243902439,-0.4602933395934786,0.4602933395934786
550.0,0.15,0.6585365853658537,-0.4771455149536862,0.4771455149536862
