Q,stroke_phase,delta_x_mean,delta_x_std,delta_Theta_mean,delta_Theta_std,delta_Delta_mean,delta_Delta_std,delta_rho1_mean,delta_rho1_std,delta_rho2_mean,delta_rho2_std,delta_rho_sym_mean,delta_rho_sym_std,delta_rho_asym_mean,delta_rho_asym_std,delta_activity_mean,delta_activity_std,delta_kappa_mean,delta_kappa_std,H_total_mean,H_total_std,H_open_mean,H_open_std,H_phase_mean,H_phase_std,H_kappa_mean,H_kappa_std
522.25,0.04375,-0.009135891696050709,0.002219773983670571,-0.44579116088575393,0.06836965154040749,1.3373734826572623,0.2051089546212225,0.03186500752566464,0.0005674049428265483,0.003311373030872435,0.0008273173303938931,0.02487345722912599,0.000788142432116406,0.020190468578789682,0.0006206720881526036,-0.2787912020064008,0.04275735898399464,-0.0016035552681754868,0.00038962045349252085,-2.84163995162024,0.37973606450431,-2.900746018211033,0.3612390792557964,0.053140189553991295,0.020042964068519808,0.005965877036802236,0.0022703177407856273
522.25,0.04791666666666667,-0.009291148069620515,0.0022054601703314033,-0.4505167530185127,0.06747774439038287,1.3515502590555386,0.2024332331711486,0.03185042672058862,0.0005958596883693381,0.003251983660580502,0.0008407370451925137,0.024821152416517743,0.0008521806550256978,0.02022215301910909,0.0005793752485070595,-0.2817465175912827,0.04219957323546507,-0.0016308062672064092,0.0003871080560658279,-2.8169042001518987,0.40896615274755216,-2.8775550780572154,0.3899080036153574,0.05452779027609268,0.020106837555319158,0.00612308762922466,0.00227829233509178
522.25,0.052083333333333336,-0.009445538259624481,0.0021904881720176913,-0.4551905199032395,0.0665610825088632,1.3655715597097184,0.19968324752658959,0.03183095967657494,0.0006364332089631284,0.0031918924712640196,0.0008541226389520081,0.024764896250230765,0.0009182179088621945,0.020250878627732616,0.0005398597815045923,-0.2846694224542092,0.0416263063233261,-0.0016579052314643248,0.0003844801323152162,-2.7904026383398635,0.43893056260398106,-2.8526001546788318,0.4194183781026718,0.055916996943893,0.02015831299842083,0.0062805193950750725,0.0022848674155113583
522.25,0.05625,-0.009599029538166463,0.0021748347706336867,-0.4598106196371347,0.06561885878459331,1.3794318589114036,0.19685657635377996,0.031806444455412516,0.000687413697717552,0.0031310776668331828,0.0008674722897733089,0.024704558810494954,0.000986032712271602,0.02027654630921597,0.0005027775409309498,-0.2875587646996173,0.041037053506250566,-0.001684846416464513,0.0003817326069406502,-2.7620790330544662,0.4695176174057684,-2.8258249587619875,0.44963826702255355,0.057307758002454315,0.020196943278357565,0.006438167705066401,0.0022899922241379927
522.25,0.06041666666666667,-0.009750653857237139,0.002157776203675663,-0.4643226215686956,0.06462397343012968,1.3929678647060866,0.19387192029038905,0.031772100983165553,0.0007477431944079204,0.003068896343214181,0.0008807272154572926,0.02463630547278549,0.001056049963891282,0.02029623064269481,0.0004685710048602444,-0.29038050415231326,0.04041486677483767,-0.0017114599079241827,0.00037873844328119186,-2.7302777324084118,0.50062835344726,-2.7955721489523677,0.4804657135894559,0.0586985197491186,0.020208504074589056,0.006595896794837466,0.0022920667421709013
522.25,0.06458333333333334,-0.009901260209606104,0.002140016089760478,-0.46877675668266294,0.06360399859780748,1.4063302700479892,0.19081199579342248,0.03173260814598618,0.0008152935951919397,0.0030060135150478534,0.0008939062694186513,0.024563914945591056,0.001127428089994056,0.02031276986393357,0.0004389509844610491,-0.29316605456579253,0.03977698949332334,-0.0017378947232434524,0.00037562114229081295,-2.696677407221857,0.5321178605424816,-2.7635192114619476,0.511734734739936,0.060088253409964903,0.020206080772110387,0.006753550830124794,0.0022925611313564576
522.25,0.06875,-0.01005084662843359,0.0021215568961362044,-0.4731729537468728,0.06255915301903074,1.4195188612406193,0.18767745905709224,0.0316879639108134,0.0008887054627925872,0.002942429474132124,0.0009070084677587523,0.024487385997652742,0.0012000316174509522,0.02032616232900875,0.0004151937828310031,-0.295915371393148,0.03912355845687826,-0.0017641505171975336,0.00037238113702725773,-2.6612782437136384,0.5639225024388299,-2.7296662869825687,0.5433720454589493,0.061476918096790886,0.020189702968049096,0.006911125172137714,0.0022914785608569755
522.25,0.07291666666666667,-0.010198331852971414,0.002101733802300786,-0.47745250891505203,0.06146489776862281,1.432357526745156,0.18439469330586844,0.03163323742413625,0.0009670721935835518,0.002877511215626928,0.0009199365677093615,0.024402784387000945,0.0012739718569466445,0.020333368999980637,0.0003981301595198496,-0.2985917420708004,0.038439227232063194,-0.0017900375041117848,0.00036890173648170807,-2.6224159750222538,0.595804288028092,-2.692344974263539,0.5751424604583117,0.0628607634068238,0.02014573284496176,0.007068235834462538,0.0022872808973542907
522.25,0.07708333333333334,-0.010344682624714914,0.0020812429949400857,-0.4816704486718821,0.060347192990765214,1.445011346015646,0.18104157897229567,0.03157333289262743,0.0010491514598932937,0.002811927784339202,0.0009327688661095095,0.02431405099755023,0.0013487523889638994,0.020337384588524007,0.0003894143508444724,-0.3012295793956455,0.037740231061139495,-0.0018157253689462913,0.00036530513713644387,-2.5818069441702596,0.6278029180071545,-2.653272595820864,0.6070686720125908,0.0642407059761698,0.02008832230813809,0.007224945674434434,0.0022815623928581427
522.25,0.08125,-0.010489899354697142,0.002060084685012605,-0.48582688487236153,0.059206157582471775,1.457480654617084,0.1776184727474153,0.031508269660384246,0.0011343492367174904,0.002745683060232657,0.0009455060407122034,0.0242212022511916,0.001424327265129962,0.020338220029432516,0.00038989960973592026,-0.3038289533197653,0.03702664430208927,-0.0018412141838466355,0.0003615913760194456,-2.539460632873144,0.6598923564218806,-2.612458544964457,0.6391204540156074,0.06561666655940432,0.020017503002370676,0.007381245531909077,0.0022743265425527993
