history,period,amplitude_half_peak_to_peak,x_std,mean_support_power,mean_dissipation_power,mean_net_power,mean_abs_support_power,mean_local_excess_energy
low_history,226,2.247669264959784e-06,1.6078401580403256e-06,1.0688744485472495e-12,8.756937159867575e-13,1.931807325604918e-13,2.29378025071789e-12,4.5994409109508375e-12
low_history,227,2.2597966778115097e-06,1.5905442766575573e-06,6.931157501983858e-13,9.2216676641542e-13,-2.290510162170343e-13,2.218976540754191e-12,4.597815572025967e-12
low_history,228,2.2730458025255196e-06,1.5682283455536528e-06,1.1669275898523387e-12,9.755349095512623e-13,1.9139268030107648e-13,2.406840949886092e-12,4.586496469021179e-12
low_history,229,2.2891504704858345e-06,1.6569256143366318e-06,8.230105438630867e-13,8.829535089995569e-13,-5.994296513647025e-14,2.2920738395136857e-12,4.815099664745719e-12
low_history,230,2.301502029983249e-06,1.5710202925224063e-06,9.397717893198575e-13,1.0213759245360752e-12,-8.160413521621745e-14,2.343599894363027e-12,4.665721915100478e-12
low_history,231,2.317542976859599e-06,1.6564183712825767e-06,1.1454301005488717e-12,9.339381644850795e-13,2.1149193606379224e-13,2.4448723231704425e-12,4.888269913073942e-12
low_history,232,2.3311353153920855e-06,1.6426526057580224e-06,7.347305179052341e-13,9.778720156003243e-13,-2.4314149769509027e-13,2.358921044618677e-12,4.8955573894244005e-12
low_history,233,2.3437147361193844e-06,1.615595968908644e-06,1.236643485015191e-12,1.0400290014493618e-12,1.9661448356582922e-13,2.556503351662319e-12,4.874668646653006e-12
low_history,234,2.360439850662699e-06,1.7094191308629705e-06,8.854843519659083e-13,9.384145792771547e-13,-5.293022731124634e-14,2.4392790112296973e-12,5.122993816603807e-12
low_history,235,2.373624730295232e-06,1.621160086286837e-06,9.87945772559896e-13,1.0852342139021295e-12,-9.728844134223359e-14,2.4891882147641864e-12,4.964777036691706e-12
low_history,236,2.390276887503928e-06,1.7064059633157752e-06,1.227052935521688e-12,9.96124179691251e-13,2.3092875583043707e-13,2.6064284843580374e-12,5.19510762910984e-12
low_history,237,2.4042905831245243e-06,1.6964546860494667e-06,7.793521496933643e-13,1.0369418537406796e-12,-2.5758970404731516e-13,2.5092140663625052e-12,5.212569851254301e-12
low_history,238,2.417263196996533e-06,1.6644578934093805e-06,1.3100206940467552e-12,1.1086881586322345e-12,2.0133253541452077e-13,2.7129284595387303e-12,5.1810902014495494e-12
low_history,239,2.4344066192338865e-06,1.763477614929839e-06,9.52836628198409e-13,9.974993127979504e-13,-4.4662684599541304e-14,2.597569635588633e-12,5.450344454573571e-12
low_history,240,2.448682370009836e-06,1.672994882641704e-06,1.0385181930536333e-12,1.1529466369866225e-12,-1.1442844393298906e-13,2.644698815308632e-12,5.283208997960234e-12
low_history,241,2.465794424505452e-06,1.7578616187234521e-06,1.3140588420563048e-12,1.062536557828612e-12,2.515222842276927e-13,2.77739489164024e-12,5.5211784074934526e-12
low_history,242,2.479100450952787e-06,1.7520198416607784e-06,8.272503690315813e-13,1.0996097488108815e-12,-2.723593797793003e-13,2.6694799105482253e-12,5.550186259514497e-12
low_history,243,2.4936402444608596e-06,1.7148855120751528e-06,1.3872523844953671e-12,1.181796162639272e-12,2.054562218560954e-13,2.8784716984671403e-12,5.507066162649382e-12
low_history,244,2.5107550533087775e-06,1.8191633125851107e-06,1.0254520517584432e-12,1.0604775343345209e-12,-3.5025482576078004e-14,2.7657363342557045e-12,5.798481087966488e-12
low_history,245,2.524923719909866e-06,1.7266044606504377e-06,1.0916538945367381e-12,1.2247694304339079e-12,-1.331155358971699e-13,2.810480730270142e-12,5.622424196333842e-12
low_history,246,2.5431394420349918e-06,1.8108017141065031e-06,1.4067230724023415e-12,1.1334241729065258e-12,2.7329889949581577e-13,2.9599024006829367e-12,5.867506963389123e-12
low_history,247,2.556861002978028e-06,1.80936209283606e-06,8.786636737965501e-13,1.1660538177866828e-12,-2.873901439901328e-13,2.8384564240021616e-12,5.909501666480208e-12
low_history,248,2.5718513710359936e-06,1.7668977486193309e-06,1.4684515648894123e-12,1.2595769524358391e-12,2.08874612453573e-13,3.0558091527521894e-12,5.853603316349368e-12
low_history,249,2.590112115424814e-06,1.8764816290505485e-06,1.1036733519291942e-12,1.1275694620654253e-12,-2.389611013623105e-14,2.9436646253857346e-12,6.168465669240896e-12
low_history,250,2.6040873354893357e-06,1.7820110903290952e-06,1.147459959999216e-12,1.3008907408310217e-12,-1.5343078083180583e-13,2.986694937834511e-12,5.9835228559341375e-12
low_history,251,2.622277124497696e-06,1.8652806541673437e-06,1.5053751167865152e-12,1.2090977461996831e-12,2.962773705868319e-13,3.1555166165743043e-12,6.235417979051698e-12
low_history,252,2.637656219300899e-06,1.8685523607954708e-06,9.339047552399899e-13,1.2365347199800227e-12,-3.0262996474003264e-13,3.0175208586423636e-12,6.29200970138829e-12
low_history,253,2.6518896171223716e-06,1.8205693940296844e-06,1.5538229260913457e-12,1.3423436560868887e-12,2.1147927000445684e-13,3.2445870422892444e-12,6.222158399282131e-12
