Numberline_Q,Type,Step,E,Q,dt,||F||
118,Stiffness,97500,1.784e-15,1.180000000000e+02,8.432e-04,1.234e-05
119,Stiffness,96500,5.791e-15,1.190000000000e+02,8.446e-04,1.278e-05
120,Stiffness,96000,4.467e-15,1.200000000000e+02,9.093e-04,1.279e-05
121,Stiffness,95500,3.165e-15,1.210000000000e+02,1.218e-03,1.274e-05
122,Stiffness,95000,1.413e-15,1.220000000000e+02,9.108e-04,1.279e-05
123,Stiffness,94000,7.633e-15,1.230000000000e+02,1.095e-03,1.327e-05
124,Stiffness,93500,6.800e-15,1.240000000000e+02,1.179e-03,1.331e-05
125,Stiffness,93000,4.907e-15,1.250000000000e+02,1.058e-03,1.336e-05
126,Stiffness,92500,1.978e-15,1.260000000000e+02,8.501e-04,1.333e-05
127,Stiffness,92000,2.567e-15,1.270000000000e+02,1.271e-03,1.341e-05
128,Stiffness,91500,1.199e-15,1.280000000000e+02,8.212e-04,1.346e-05
129,Stiffness,90500,8.181e-15,1.290000000000e+02,9.871e-04,1.403e-05
130,Stiffness,90500,0.000e+00,1.300000000000e+02,1.322e-03,1.362e-05
131,Stiffness,89500,9.086e-15,1.310000000000e+02,1.104e-03,1.425e-05
132,Stiffness,89000,5.091e-15,1.320000000000e+02,7.393e-04,1.427e-05
133,Stiffness,88500,6.210e-15,1.330000000000e+02,9.551e-04,1.435e-05
134,Stiffness,88000,8.029e-15,1.340000000000e+02,1.428e-03,1.676e-05
135,Stiffness,87500,6.405e-15,1.350000000000e+02,1.107e-03,1.457e-05
136,Stiffness,87000,5.653e-15,1.360000000000e+02,1.030e-03,1.465e-05
137,Stiffness,86500,7.437e-15,1.370000000000e+02,1.070e-03,1.484e-05
138,Stiffness,86000,6.967e-15,1.380000000000e+02,1.194e-03,1.491e-05
139,Stiffness,85500,5.258e-15,1.390000000000e+02,7.715e-04,1.502e-05
140,Stiffness,85000,6.596e-15,1.400000000000e+02,9.968e-04,1.517e-05
141,Stiffness,84500,7.916e-15,1.410000000000e+02,1.073e-03,1.532e-05
142,Stiffness,84000,6.100e-15,1.420000000000e+02,8.320e-04,1.545e-05
143,Stiffness,83500,7.943e-15,1.430000000000e+02,8.958e-04,1.562e-05
144,Stiffness,83000,1.110e-14,1.440000000000e+02,1.157e-03,1.579e-05
145,Stiffness,82500,1.275e-14,1.450000000000e+02,1.292e-03,1.590e-05
146,Stiffness,82500,3.959e-16,1.460000000000e+02,7.212e-04,1.553e-05
147,Stiffness,82000,9.176e-16,1.470000000000e+02,8.051e-04,1.566e-05
148,Stiffness,81500,1.433e-15,1.480000000000e+02,8.987e-04,1.578e-05
149,Stiffness,81000,3.493e-15,1.490000000000e+02,1.161e-03,1.599e-05
150,Stiffness,80500,5.914e-15,1.500000000000e+02,1.250e-03,1.620e-05
151,Stiffness,80000,7.025e-15,1.510000000000e+02,1.163e-03,1.638e-05
152,Stiffness,79500,6.346e-15,1.520000000000e+02,7.514e-04,1.659e-05
153,Stiffness,79000,1.085e-14,1.530000000000e+02,9.364e-04,1.690e-05
154,Stiffness,78500,1.128e-14,1.540000000000e+02,9.031e-04,1.702e-05
155,Stiffness,78500,1.744e-15,1.550000000000e+02,1.045e-03,1.658e-05
156,Stiffness,78000,4.085e-15,1.560000000000e+02,7.816e-04,1.687e-05
157,Stiffness,77500,8.365e-15,1.570000000000e+02,1.010e-03,1.713e-05
158,Stiffness,77000,8.070e-15,1.580000000000e+02,7.828e-04,1.736e-05
159,Stiffness,76500,1.325e-14,1.590000000000e+02,1.011e-03,1.764e-05
160,Stiffness,76500,1.087e-15,1.600000000000e+02,1.011e-03,1.714e-05
161,Stiffness,76000,5.883e-15,1.610000000000e+02,1.307e-03,1.740e-05
162,Stiffness,75500,1.158e-14,1.620000000000e+02,1.407e-03,1.798e-05
163,Stiffness,75000,1.198e-14,1.630000000000e+02,1.131e-03,1.791e-05
164,Stiffness,74500,1.604e-14,1.640000000000e+02,1.015e-03,1.826e-05
165,Stiffness,74500,4.456e-15,1.650000000000e+02,1.174e-03,1.782e-05
166,Stiffness,74000,7.811e-15,1.660000000000e+02,1.093e-03,1.809e-05
167,Stiffness,73500,9.504e-15,1.670000000000e+02,8.470e-04,1.838e-05
168,Stiffness,73000,1.291e-14,1.680000000000e+02,7.600e-04,1.875e-05
169,Stiffness,73000,3.094e-15,1.690000000000e+02,9.120e-04,1.823e-05
170,Stiffness,72500,8.431e-15,1.700000000000e+02,9.819e-04,1.859e-05
171,Stiffness,72000,1.065e-14,1.710000000000e+02,7.612e-04,1.891e-05
172,Stiffness,71500,1.465e-14,1.720000000000e+02,8.498e-04,1.920e-05
173,Stiffness,71500,5.602e-15,1.730000000000e+02,1.416e-03,1.900e-05
174,Stiffness,71000,1.214e-14,1.740000000000e+02,1.059e-03,1.915e-05
175,Stiffness,70500,2.172e-14,1.750000000000e+02,1.140e-03,1.956e-05
176,Stiffness,70500,2.645e-15,1.760000000000e+02,1.182e-03,1.894e-05
177,Stiffness,70000,1.096e-14,1.770000000000e+02,1.273e-03,1.934e-05
178,Stiffness,69500,1.875e-14,1.780000000000e+02,1.142e-03,1.980e-05
179,Stiffness,69500,1.518e-15,1.790000000000e+02,8.223e-04,1.922e-05
180,Stiffness,69000,4.960e-15,1.800000000000e+02,7.649e-04,1.955e-05
181,Stiffness,68500,1.566e-14,1.810000000000e+02,1.186e-03,1.996e-05
182,Stiffness,68500,1.067e-15,1.820000000000e+02,1.144e-03,1.954e-05
183,Stiffness,68000,8.703e-15,1.830000000000e+02,1.277e-03,1.987e-05
184,Stiffness,67500,1.837e-14,1.840000000000e+02,1.146e-03,2.037e-05
185,Stiffness,67500,1.680e-15,1.850000000000e+02,9.548e-04,1.986e-05
186,Stiffness,67000,1.170e-14,1.860000000000e+02,1.234e-03,2.030e-05
187,Stiffness,66500,1.913e-14,1.870000000000e+02,1.148e-03,2.071e-05
188,Stiffness,66500,1.448e-15,1.880000000000e+02,1.148e-03,2.017e-05
189,Stiffness,66000,1.152e-14,1.890000000000e+02,1.030e-03,2.068e-05
190,Stiffness,65500,2.314e-14,1.900000000000e+02,1.109e-03,2.119e-05
191,Stiffness,65500,2.648e-15,1.910000000000e+02,7.983e-04,2.057e-05
192,Stiffness,65000,1.176e-14,1.920000000000e+02,8.595e-04,2.108e-05
193,Stiffness,64500,1.714e-14,1.930000000000e+02,7.996e-04,2.152e-05
194,Stiffness,64500,7.827e-15,1.940000000000e+02,1.111e-03,2.103e-05
195,Stiffness,64000,1.398e-14,1.950000000000e+02,8.609e-04,2.149e-05
196,Stiffness,63500,2.822e-14,1.960000000000e+02,1.153e-03,2.191e-05
197,Stiffness,63500,9.690e-15,1.970000000000e+02,9.269e-04,2.148e-05
198,Stiffness,63000,1.732e-14,1.980000000000e+02,8.623e-04,2.194e-05
199,Stiffness,63000,5.288e-15,1.990000000000e+02,1.198e-03,2.142e-05
200,Stiffness,62500,1.696e-14,2.000000000000e+02,1.337e-03,2.186e-05
201,Stiffness,62000,2.114e-14,2.010000000000e+02,8.637e-04,2.241e-05
202,Stiffness,62000,5.985e-15,2.020000000000e+02,8.637e-04,2.183e-05
203,Stiffness,61500,2.133e-14,2.030000000000e+02,1.116e-03,2.238e-05
204,Stiffness,61500,2.295e-15,2.040000000000e+02,9.299e-04,2.183e-05
205,Stiffness,61000,1.961e-14,2.050000000000e+02,1.159e-03,2.250e-05
206,Stiffness,60500,2.273e-14,2.060000000000e+02,7.487e-04,2.307e-05
207,Stiffness,60500,7.355e-15,2.070000000000e+02,1.341e-03,2.224e-05
208,Stiffness,60000,1.802e-14,2.080000000000e+02,8.358e-04,2.295e-05
209,Stiffness,60000,2.055e-15,2.090000000000e+02,1.203e-03,2.229e-05
210,Stiffness,59500,1.079e-14,2.100000000000e+02,7.775e-04,2.284e-05
211,Stiffness,59000,2.833e-14,2.110000000000e+02,1.005e-03,2.346e-05
212,Stiffness,59000,9.400e-15,2.120000000000e+02,1.205e-03,2.281e-05
213,Stiffness,58500,2.202e-14,2.130000000000e+02,9.013e-04,2.350e-05
214,Stiffness,58500,3.471e-15,2.140000000000e+02,7.511e-04,2.288e-05
215,Stiffness,58000,1.709e-14,2.150000000000e+02,1.207e-03,2.334e-05
216,Stiffness,57500,2.897e-14,2.160000000000e+02,9.028e-04,2.406e-05
217,Stiffness,57500,1.208e-14,2.170000000000e+02,1.083e-03,2.339e-05
218,Stiffness,57000,2.100e-14,2.180000000000e+02,8.398e-04,2.396e-05
219,Stiffness,57000,3.395e-15,2.190000000000e+02,1.008e-03,2.329e-05
220,Stiffness,56500,1.779e-14,2.200000000000e+02,9.043e-04,2.396e-05
221,Stiffness,56000,3.595e-14,2.210000000000e+02,9.736e-04,2.463e-05
222,Stiffness,56000,1.693e-14,2.220000000000e+02,1.168e-03,2.393e-05
223,Stiffness,55500,2.230e-14,2.230000000000e+02,7.548e-04,2.455e-05
224,Stiffness,55500,6.469e-15,2.240000000000e+02,9.057e-04,2.385e-05
225,Stiffness,55000,2.907e-14,2.250000000000e+02,1.404e-03,2.487e-05
226,Stiffness,54500,4.091e-14,2.260000000000e+02,1.089e-03,2.505e-05
227,Stiffness,54500,1.605e-14,2.270000000000e+02,1.089e-03,2.436e-05
228,Stiffness,54000,4.246e-14,2.280000000000e+02,1.407e-03,2.553e-05
229,Stiffness,54000,8.731e-15,2.290000000000e+02,8.140e-04,2.437e-05
230,Stiffness,53500,2.233e-14,2.300000000000e+02,9.087e-04,2.491e-05
231,Stiffness,53500,1.698e-15,2.310000000000e+02,7.572e-04,2.421e-05
232,Stiffness,53000,1.606e-14,2.320000000000e+02,8.153e-04,2.488e-05
233,Stiffness,52500,3.418e-14,2.330000000000e+02,7.315e-04,2.585e-05
234,Stiffness,52500,1.174e-14,2.340000000000e+02,8.779e-04,2.481e-05
235,Stiffness,52000,2.305e-14,2.350000000000e+02,8.166e-04,2.537e-05
236,Stiffness,52000,7.485e-15,2.360000000000e+02,1.134e-03,2.470e-05
237,Stiffness,51500,2.187e-14,2.370000000000e+02,1.055e-03,2.525e-05
238,Stiffness,51000,5.164e-14,2.380000000000e+02,1.363e-03,2.586e-05
239,Stiffness,51000,2.120e-14,2.390000000000e+02,1.315e-03,2.521e-05
240,Stiffness,50500,3.863e-14,2.400000000000e+02,1.223e-03,2.575e-05
241,Stiffness,50500,6.847e-15,2.410000000000e+02,1.019e-03,2.500e-05
242,Stiffness,50000,2.014e-14,2.420000000000e+02,9.483e-04,2.552e-05
243,Stiffness,49500,3.041e-14,2.430000000000e+02,7.351e-04,2.614e-05
244,Stiffness,49500,7.572e-15,2.440000000000e+02,7.351e-04,2.523e-05
245,Stiffness,49000,3.033e-14,2.450000000000e+02,1.140e-03,2.580e-05
246,Stiffness,48500,3.597e-14,2.460000000000e+02,7.363e-04,2.644e-05
247,Stiffness,48500,1.624e-14,2.470000000000e+02,8.522e-04,2.560e-05
248,Stiffness,48000,4.093e-14,2.480000000000e+02,1.101e-03,2.618e-05
249,Stiffness,48000,8.691e-15,2.490000000000e+02,1.101e-03,2.526e-05
250,Stiffness,47500,3.085e-14,2.500000000000e+02,1.186e-03,2.584e-05
251,Stiffness,47000,4.501e-14,2.510000000000e+02,1.103e-03,2.630e-05
252,Stiffness,47000,6.562e-15,2.520000000000e+02,9.529e-04,2.521e-05
253,Stiffness,46500,3.362e-14,2.530000000000e+02,1.188e-03,2.586e-05
254,Stiffness,46500,0.000e+00,2.540000000000e+02,8.053e-07,2.493e-05
255,Stiffness,46000,1.823e-14,2.550000000000e+02,1.065e-03,2.541e-05
256,Stiffness,45500,2.632e-14,2.560000000000e+02,8.260e-04,2.581e-05
257,Stiffness,45500,1.073e-15,2.570000000000e+02,8.260e-04,2.476e-05
258,Stiffness,45000,1.986e-14,2.580000000000e+02,1.281e-03,2.512e-05
259,Stiffness,44500,3.622e-14,2.590000000000e+02,1.191e-03,2.545e-05
260,Stiffness,44500,1.213e-15,2.600000000000e+02,8.273e-04,2.440e-05
261,Stiffness,44000,1.722e-14,2.610000000000e+02,8.908e-04,2.479e-05
262,Stiffness,43500,2.770e-14,2.620000000000e+02,8.287e-04,2.502e-05
263,Stiffness,43500,1.500e-15,2.630000000000e+02,9.944e-04,2.382e-05
264,Stiffness,43000,2.107e-14,2.640000000000e+02,1.071e-03,2.411e-05
265,Stiffness,42500,5.093e-14,2.650000000000e+02,1.383e-03,2.440e-05
266,Stiffness,42500,1.024e-14,2.660000000000e+02,1.383e-03,2.307e-05
267,Stiffness,42000,3.652e-14,2.670000000000e+02,1.241e-03,2.331e-05
268,Stiffness,42000,8.839e-16,2.680000000000e+02,8.937e-04,2.196e-05
