Q,anchor_index,anchor_s,phase_index,loop_phase,s_value,PC1,PC2,PC3
522.25,0,1165.777520408083,113,0.4708333333333333,1165.8828039728978,0.0016755642704419803,0.001456397814175471,1.0495764639997722e-07
522.25,0,1165.777520408083,114,0.475,1165.8837356858608,0.0016476961692201467,0.0014720401342525635,1.1057557815747607e-07
522.25,0,1165.777520408083,115,0.4791666666666667,1165.884667398824,0.0016189310931035048,0.001486903911966962,1.1595503428563298e-07
522.25,0,1165.777520408083,116,0.48333333333333334,1165.8855991117869,0.0015904696673429944,0.0015020314571746538,1.2142283336360328e-07
522.25,0,1165.777520408083,117,0.4875,1165.8865308247498,0.0015620016206687173,0.0015171485385747133,1.268920125813685e-07
522.25,0,1165.777520408083,118,0.49166666666666664,1165.8874625377127,0.0015335412117314273,0.0015322841824952007,1.323771817359338e-07
522.25,0,1165.777520408083,119,0.49583333333333335,1165.8883942506757,0.0015050932676429322,0.0015474290116686501,1.3787110570138885e-07
522.25,0,1165.777520408083,120,0.5,1165.8893259636386,0.0014761068293954686,0.001562011916030546,1.431559823724946e-07
522.25,0,1165.777520408083,121,0.5041666666666667,1165.8902576766015,0.001446370223274549,0.001575811915182041,1.481470430683088e-07
522.25,0,1165.777520408083,122,0.5083333333333333,1165.8911893895645,0.0014160952935833183,0.0015890499897845522,1.529279339346403e-07
522.25,0,1165.777520408083,123,0.5125,1165.8921211025274,0.0013858277780668716,0.0016022996174331573,1.577181873911795e-07
522.25,0,1165.777520408083,124,0.5166666666666666,1165.8930528154906,0.001355581821497063,0.0016155611671619208,1.6251544387590466e-07
522.25,0,1165.777520408083,125,0.5208333333333334,1165.8939845284535,0.0013253245522372125,0.001628814466478334,1.6731465251631862e-07
522.25,0,1165.777520408083,126,0.525,1165.8949162414165,0.0012953013660240453,0.0016423651990253516,1.722483230330619e-07
522.25,0,1165.777520408083,127,0.5291666666666667,1165.8958479543794,0.001264587603959471,0.001655037549714502,1.7680343775861104e-07
522.25,0,1165.777520408083,128,0.5333333333333333,1165.8967796673423,0.0012327208534176426,0.001666246364846173,1.8072558441085696e-07
522.25,0,1165.777520408083,129,0.5375,1165.8977113803053,0.0012008705632783438,0.0016774776424537431,1.8466091171652643e-07
522.25,0,1165.777520408083,130,0.5416666666666666,1165.8986430932682,0.0011691562185847165,0.0016888767552819667,1.8867218761760878e-07
522.25,0,1165.777520408083,131,0.5458333333333333,1165.8995748062312,0.0011373842110907943,0.0017002051526217358,1.9265649003302434e-07
522.25,0,1165.777520408083,132,0.55,1165.900506519194,0.0011056834898785172,0.0017116454984612962,1.9669709407064493e-07
522.25,0,1165.777520408083,133,0.5541666666666667,1165.9014382321573,0.0010737625464048279,0.0017227348815196239,2.005739165337922e-07
522.25,0,1165.777520408083,134,0.5583333333333333,1165.9023699451202,0.001041316056792102,0.0017329949952588723,2.040603665962429e-07
522.25,0,1165.777520408083,135,0.5625,1165.9033016580831,0.0010083687205166062,0.001742462261028412,2.0717353783974258e-07
522.25,0,1165.777520408083,136,0.5666666666666667,1165.904233371046,0.0009752719917622247,0.0017516976749316511,2.1017981184089116e-07
522.25,0,1165.777520408083,137,0.5708333333333333,1165.905165084009,0.0009422437299267169,0.0017610382805149287,2.1323721887756384e-07
522.25,0,1165.777520408083,138,0.575,1165.906096796972,0.000909171617057817,0.0017702915726199025,2.1625371656431064e-07
522.25,0,1165.777520408083,139,0.5791666666666666,1165.907028509935,0.0008762256170188822,0.0017798073629130228,2.194030247222173e-07
522.25,0,1165.777520408083,140,0.5833333333333334,1165.9079602228978,0.0008431783368129639,0.0017891138630774218,2.2245063417346058e-07
522.25,0,1165.777520408083,141,0.5875,1165.9088919358608,0.0008092919188115759,0.001796706919915247,2.2464297877269345e-07
522.25,0,1165.777520408083,142,0.5916666666666667,1165.909823648824,0.0007750922597731747,0.001803662877045554,2.2651694192179482e-07
522.25,0,1165.777520408083,143,0.5958333333333333,1165.9107553617869,0.0007410553777784238,0.00181094917967155,2.2855772966724348e-07
522.25,0,1165.777520408083,144,0.6,1165.9116870747498,0.0007069926611577527,0.0018181749798613631,2.3056769403582828e-07
522.25,0,1165.777520408083,145,0.6041666666666666,1165.9126187877127,0.0006729474416672718,0.0018254665655798024,2.3261475035851357e-07
522.25,0,1165.777520408083,146,0.6083333333333333,1165.9135505006757,0.0006388772657529162,0.0018326789255102823,2.34621875447848e-07
522.25,0,1165.777520408083,147,0.6125,1165.9144822136386,0.0006045406008744136,0.0018391428494727773,2.362445906554842e-07
522.25,0,1165.777520408083,148,0.6166666666666667,1165.9154139266016,0.0005698801183787196,0.0018446944364330388,2.373985684168137e-07
522.25,0,1165.777520408083,149,0.6208333333333333,1165.9163456395645,0.0005350228334809391,0.0018496937943751164,2.3826914489021098e-07
522.25,0,1165.777520408083,150,0.625,1165.9172773525274,0.0005001907873153981,0.0018547713190522534,2.3917986284161144e-07
522.25,0,1165.777520408083,151,0.6291666666666667,1165.9182090654906,0.00046535868586189004,0.0018598178077469407,2.4007488579046633e-07
522.25,0,1165.777520408083,152,0.6333333333333333,1165.9191407784535,0.00043053620757789316,0.0018649256411343935,2.4100260206550123e-07
522.25,0,1165.777520408083,153,0.6375,1165.9200724914165,0.0003957743587057903,0.0018702985610921292,2.42067357132445e-07
522.25,0,1165.777520408083,154,0.6416666666666666,1165.9210042043794,0.0003607182750502564,0.001874370072090455,2.4245974826858367e-07
522.25,0,1165.777520408083,155,0.6458333333333334,1165.9219359173424,0.00032533671476445543,0.0018770084823335228,2.421107402734184e-07
522.25,0,1165.777520408083,156,0.65,1165.9228676303053,0.00029000087129797827,0.0018798519411610947,2.4186721871730286e-07
522.25,0,1165.777520408083,157,0.6541666666666667,1165.9237993432682,0.0002546919625139352,0.0018827962526831918,2.416761004847195e-07
522.25,0,1165.777520408083,158,0.6583333333333333,1165.9247310562312,0.00021936661557416038,0.001885690790698849,2.4145849229777944e-07
522.25,0,1165.777520408083,159,0.6625,1165.925662769194,0.00018405354357176092,0.0018886868196064425,2.4129287019075266e-07
522.25,0,1165.777520408083,160,0.6666666666666666,1165.9265944821573,0.0001486895392526155,0.0018911724188894737,2.4086719177568687e-07
522.25,0,1165.777520408083,161,0.6708333333333333,1165.9275261951202,0.00011323045387974622,0.0018927268944095214,2.39968179095289e-07
522.25,0,1165.777520408083,162,0.675,1165.9284579080831,7.769012802099776e-05,0.0018934746817448089,2.3865776061386423e-07
522.25,0,1165.777520408083,163,0.6791666666666667,1165.929389621046,4.2133294126532454e-05,0.001894089182188565,2.3727924880318757e-07
522.25,0,1165.777520408083,164,0.6833333333333333,1165.930321334009,6.589541712646624e-06,0.0018947899935659817,2.3594497502890662e-07
522.25,0,1165.777520408083,165,0.6875,1165.931253046972,-2.8955404014702772e-05,0.0018954115049768469,2.3457098731278526e-07
522.25,0,1165.777520408083,166,0.6916666666666667,1165.932184759935,-6.45091041353252e-05,0.0018963688066478135,2.3336090582298443e-07
522.25,0,1165.777520408083,167,0.6958333333333333,1165.9331164728978,-0.00010005021625317468,0.0018968074986681262,2.3189638809409155e-07
522.25,0,1165.777520408083,168,0.7,1165.9340481858608,-0.0001355508670730998,0.0018954042404290426,2.2952981888823982e-07
522.25,0,1165.777520408083,169,0.7041666666666666,1165.934979898824,-0.0001710448293647535,0.001893642090980259,2.2698718475903443e-07
522.25,0,1165.777520408083,170,0.7083333333333334,1165.9359116117869,-0.00020654372836401627,0.0018921896963751991,2.2459549690860383e-07
522.25,0,1165.777520408083,171,0.7125,1165.9368433247498,-0.00024203861162296335,0.0018906477718064949,2.2216078461042865e-07
522.25,0,1165.777520408083,172,0.7166666666666667,1165.9377750377128,-0.00027755152916873955,0.0018892094396350922,2.197736895932071e-07
522.25,0,1165.777520408083,173,0.7208333333333333,1165.9387067506757,-0.0003130334329587552,0.0018875772559444322,2.1729707263684687e-07
522.25,0,1165.777520408083,174,0.725,1165.9396384636386,-0.0003483938115657055,0.001885106811846623,2.1443357474752377e-07
522.25,0,1165.777520408083,175,0.7291666666666666,1165.9405701766016,-0.00038361966790502434,0.0018817189690922959,2.1114971553360625e-07
522.25,0,1165.777520408083,176,0.7333333333333333,1165.9415018895645,-0.00041878206896931613,0.001877887225060127,2.07661152469881e-07
522.25,0,1165.777520408083,177,0.7375,1165.9424336025274,-0.0004539626135030025,0.0018741712293123562,2.0422462090168043e-07
522.25,0,1165.777520408083,178,0.7416666666666667,1165.9433653154906,-0.0004891214988359011,0.001870387961188187,2.007620056713794e-07
522.25,0,1165.777520408083,179,0.7458333333333333,1165.9442970284535,-0.0005243239447716035,0.0018667509008465282,1.9735922717311042e-07
522.25,0,1165.777520408083,180,0.75,1165.9452287414165,-0.0005595580071114014,0.0018632335660522697,1.9400692923357294e-07
522.25,0,1165.777520408083,181,0.7541666666666667,1165.9461604543794,-0.0005943700757965974,0.001858167400829989,1.9000533443866773e-07
522.25,0,1165.777520408083,182,0.7583333333333333,1165.9470921673424,-0.0006288730045311896,0.0018519619996114334,1.8552676416487508e-07
522.25,0,1165.777520408083,183,0.7625,1165.9480238803053,-0.0006634601990710391,0.0018460653405965402,1.8117697880494325e-07
522.25,0,1165.777520408083,184,0.7666666666666666,1165.9489555932682,-0.000698048947943814,0.0018401905579093377,1.7683989652356015e-07
522.25,0,1165.777520408083,185,0.7708333333333334,1165.9498873062312,-0.0007326447764126095,0.0018343085168976757,1.7249623926880895e-07
522.25,0,1165.777520408083,186,0.775,1165.9508190191941,-0.0007672567263377317,0.0018284739231313803,1.68172506522196e-07
522.25,0,1165.777520408083,187,0.7791666666666667,1165.9517507321573,-0.0008016251368270379,0.001822035080791091,1.636263248449933e-07
522.25,0,1165.777520408083,188,0.7833333333333333,1165.9526824451202,-0.0008356277810650074,0.0018146875001734235,1.587458786347711e-07
522.25,0,1165.777520408083,189,0.7875,1165.9536141580832,-0.0008693489955387618,0.0018066419523961764,1.5361014615450515e-07
522.25,0,1165.777520408083,190,0.7916666666666666,1165.954545871046,-0.000903061744487558,0.0017985672759790552,1.4846363250769166e-07
522.25,0,1165.777520408083,191,0.7958333333333333,1165.955477584009,-0.000936784030886931,0.0017905346827315977,1.4333708978018253e-07
522.25,0,1165.777520408083,192,0.8,1165.956409296972,-0.0009704903872291313,0.0017824647018343292,1.3819896593597253e-07
522.25,0,1165.777520408083,193,0.8041666666666667,1165.957341009935,-0.0010043746152921822,0.001774723081901603,1.3316234196953874e-07
522.25,0,1165.777520408083,194,0.8083333333333333,1165.9582727228978,-0.0010378311360075315,0.0017661916586171722,1.2788596914585675e-07
522.25,0,1165.777520408083,195,0.8125,1165.9592044358608,-0.0010704033835214279,0.0017560223228451756,1.2210864211415394e-07
522.25,0,1165.777520408083,196,0.8166666666666667,1165.9601361488237,-0.0011029332479598078,0.00174577226214814,1.163091819751578e-07
522.25,0,1165.777520408083,197,0.8208333333333333,1165.961067861787,-0.0011355793341903066,0.0017357430367760962,1.1058022296481952e-07
522.25,0,1165.777520408083,198,0.825,1165.9619995747498,-0.0011681804807598078,0.0017256300662291035,1.0482942779346227e-07
522.25,0,1165.777520408083,199,0.8291666666666666,1165.9629312877128,-0.0012008578124130017,0.0017156270185187995,9.910536895230765e-08
522.25,0,1165.777520408083,200,0.8333333333333334,1165.9638630006757,-0.0012333348029797747,0.0017053357241853437,9.33174458995866e-08
522.25,0,1165.777520408083,201,0.8375,1165.9647947136386,-0.0012652619410516376,0.00169424280763323,8.734357745426887e-08
522.25,0,1165.777520408083,202,0.8416666666666667,1165.9657264266016,-0.0012966388563286637,0.0016823503902040308,8.118722106446122e-08
522.25,0,1165.777520408083,203,0.8458333333333333,1165.9666581395645,-0.0013278222164697499,0.0016701728398637353,7.496623860853666e-08
522.25,0,1165.777520408083,204,0.85,1165.9675898525275,-0.0013590805087538207,0.001658105370123809,6.877498268756541e-08
522.25,0,1165.777520408083,205,0.8541666666666666,1165.9685215654904,-0.0013902732141575793,0.0016459607988549539,6.25761278375724e-08
522.25,0,1165.777520408083,206,0.8583333333333333,1165.9694532784536,-0.0014216417409689142,0.001634019801966338,5.640929297099165e-08
522.25,0,1165.777520408083,207,0.8624999999999999,1165.9703849914165,-0.0014529399806311788,0.0016219974986207723,5.023535471588134e-08
522.25,0,1165.777520408083,208,0.8666666666666667,1165.9713167043794,-0.0014829610399265752,0.0016084680605907274,4.383860324955596e-08
522.25,0,1165.777520408083,209,0.8708333333333333,1165.9722484173424,-0.0015123777733453026,0.0015942238219737409,3.7338429647156314e-08
522.25,0,1165.777520408083,210,0.875,1165.9731801303053,-0.0015420497624292343,0.001580281640999647,3.088976147086636e-08
522.25,0,1165.777520408083,211,0.8791666666666667,1165.9741118432682,-0.0015716886408143386,0.0015663057337286198,2.4441838649799095e-08
522.25,0,1165.777520408083,212,0.8833333333333333,1165.9750435562312,-0.0016013697987103028,0.0015523626769419919,1.799766489820189e-08
522.25,0,1165.777520408083,213,0.8875,1165.9759752691941,-0.0016310209517118644,0.0015383940593706987,1.1557749259514564e-08
