Q,component,singular_value,explained_variance_ratio,cumulative_explained_variance,B_0_0,B_0_1,B_0_2,B_0_3,B_0_4,B_0_5,B_0_6,B_0_7,B_0_8,B_1_0,B_1_1,B_1_2,B_1_3,B_1_4,B_1_5,B_1_6,B_1_7,B_1_8,B_2_0,B_2_1,B_2_2,B_2_3,B_2_4,B_2_5,B_2_6,B_2_7,B_2_8,B_3_0,B_3_1,B_3_2,B_3_3,B_3_4,B_3_5,B_3_6,B_3_7,B_3_8,B_4_0,B_4_1,B_4_2,B_4_3,B_4_4,B_4_5,B_4_6,B_4_7,B_4_8,B_5_0,B_5_1,B_5_2,B_5_3,B_5_4,B_5_5,B_5_6,B_5_7,B_5_8,B_6_0,B_6_1,B_6_2,B_6_3,B_6_4,B_6_5,B_6_6,B_6_7,B_6_8,B_7_0,B_7_1,B_7_2,B_7_3,B_7_4,B_7_5,B_7_6,B_7_7,B_7_8,B_8_0,B_8_1,B_8_2,B_8_3,B_8_4,B_8_5,B_8_6,B_8_7,B_8_8
522.25,11,1.7169118453585689e-12,2.4422048491978573e-22,0.9999999999999999,8.733134667096689e-08,-0.1562859610045561,-2.6465068095792982e-08,1.7439614518482795e-12,-1.4814955574453072e-13,-2.436245649661828e-14,3.434752482434078e-16,-5.412337245047638e-16,6.904199434387692e-16,-0.04431841254943478,0.017247518395137884,0.06635388550469057,-0.00020190998500235757,-6.938893903907228e-18,-1.0842021724855044e-19,7.542374977368739e-05,0.0,-0.05269435118040846,0.05269435136561142,-0.06635388550469286,-0.028412580642231143,-0.05269435136561142,0.0,0.0,-0.030087810132393086,0.0,0.00023185653081808877,0.0,0.0,0.0,0.0,-0.15628593767647986,0.0,0.0,0.0,0.0,0.033415477089548756,0.0,0.0,0.002081171755802995,0.008721692425784144,-0.0003711391427378659,-0.10414665815515879,0.0,0.1219158569404463,0.12191595293017717,0.0,0.0,-0.12191595293017717,0.0003711391427365622,-0.009181377139562075,-0.6995860493206002,0.0,-0.033415477089567325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15628593767647986,0.0,-0.2297655253362406,0.0,0.0,-0.2297655253362406,0.0,0.0,-0.2564603844443874,-0.36229478597940556,-0.0025194190457069453,0.0,0.0,-0.15628593767647986,0.0,0.0,-0.15628593767647947,0.08299112515097579,0.0,0.0
522.25,12,5.249916673592965e-13,2.2834468960645375e-23,0.9999999999999999,4.21616508554343e-07,-0.20114413149955035,-8.241596541520137e-08,-1.5338701785748184e-12,1.9254123343630776e-12,-4.330867262036797e-14,-9.549652735252323e-16,-1.4259426972529354e-15,6.192962809237201e-16,-0.0524082892359547,0.03045911826276468,0.07332451778695936,-0.05733344306959326,0.0,-2.7755575615628914e-17,-0.026743015087138843,0.0,0.0074315542952429064,-0.0074315549351243754,-0.07332451778696766,-0.02768968739013399,0.0074315549351243754,0.0,0.0,0.004262830231687975,0.0,0.05738352707112139,0.0,0.0,0.0,0.0,-0.20114408305911488,0.0,0.0,0.0,0.0,0.022301689986804603,0.0,0.0,0.004459777307282691,0.0023752984365170817,-0.0003437020767379875,-0.05175628600836137,0.0,-0.016871373606828798,-0.016871473983381107,0.0,0.0,0.016871473983381107,0.00034370207674694006,-0.0024009814828558104,0.09989957531358717,0.0,-0.02230168998683578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20114408305911488,0.0,0.008706760692129896,0.0,0.0,0.008706760692129896,0.0,0.0,-0.4611247931428972,0.6124419449228049,0.40265256746633316,0.0,0.0,-0.20114408305911488,0.0,0.0,-0.20114408305911563,0.10242754822051231,0.0,0.0
550.0,1,1.0162962615282398,0.6717768534144413,0.6717768534144413,9.211783950218278e-19,0.0013792727616097622,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.012973342342456949,0.004607631733262549,0.002990965870068021,-3.617894148241048e-05,0.0,0.0,-1.4149186567281448e-05,0.0,1.0544940118768841e-05,-1.0544940118768841e-05,-0.002990965870068021,0.005021413561745322,1.0544940118768841e-05,0.0,0.0,5.27272252009413e-06,0.0,3.617894148241048e-05,0.0,0.0,0.0,0.0,0.0013792727616097034,0.0,0.0,0.0,0.0,0.0077052648680795465,0.0,0.0,-0.08517528971571856,-0.0010323814570567058,-0.7043908848251371,0.004690838282164235,0.0,0.0022429654138818363,0.0022429654138818363,0.0,0.0,-0.0022429654138818363,0.7043908848251371,-0.0006185996285740839,0.0011215363911268217,0.0,-0.0077052648680795465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013792727616097034,0.0,7.526941490673828e-05,0.0,0.0,7.526941490673828e-05,0.0,0.0,-0.00331024583420921,-0.000413794238480192,0.0004111365271548791,0.0,0.0,0.0013792727616097034,0.0,0.0,0.0013792727616097034,-0.000344818372534733,0.0,0.0
550.0,2,0.7103812554452278,0.32822175740379433,0.9999986108182356,-3.8636686867962755e-18,0.007242042879306521,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.022074330838961126,0.00584996620098996,0.0006609574135182566,-2.0760241416305367e-05,0.0,0.0,1.03088483993693e-05,0.0,-0.0026025904044666417,0.0026025904044666417,-0.0006609574135182566,0.008022579064782256,-0.0026025904044666417,0.0,0.0,-0.0013012956759553885,0.0,2.0760241416305367e-05,0.0,0.0,0.0,0.0,0.007242042879306777,0.0,0.0,0.0,0.0,0.004404966880084286,0.0,0.0,-0.020316802216542282,0.025790990307098503,-0.0016749662740284778,0.006603574203919645,0.0,-0.5536399158116275,-0.5536399158116275,0.0,0.0,0.5536399158116275,0.0016749662740284778,0.027963603170890312,-0.27682005871891474,0.0,-0.004404966880084286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007242042879306777,0.0,-0.018574154134846223,0.0,0.0,-0.018574154134846223,0.0,0.0,-0.017380936725425535,-0.0021726105833583882,-0.0004142451618881023,0.0,0.0,0.007242042879306777,0.0,0.0,0.007242042879306777,-0.0018105100455925284,0.0,0.0
550.0,3,0.001259481703916414,1.0317348628598499e-06,0.9999996425530985,-2.0941006923039567e-15,-0.00030668870587321237,-3.443426099813962e-16,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006917072783171219,-0.0003649207684947199,-0.00041855917929858763,-0.000260772957894284,0.0,0.0,-0.00013123033777587693,0.0,5.077812576704496e-05,-5.077812576704433e-05,0.0004185591792985877,-0.00045692738026892153,5.077812576704433e-05,0.0,0.0,2.9376086602859003e-05,0.0,0.000260772957894284,0.0,0.0,0.0,0.0,-0.0003066887058734436,0.0,0.0,0.0,0.0,0.17247022164404663,0.0,0.0,-0.9616103525149339,-0.018541069746879177,0.06037870169658919,0.0860639865407886,0.0,0.01119864505975952,0.011198645059760643,0.0,0.0,-0.011198645059760643,-0.06037870169658919,-0.01863307635852662,0.006447467688439522,0.0,-0.17247022164404663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003066887058734436,0.0,0.0004955359115043267,0.0,0.0,0.0004955359115043267,0.0,0.0,0.00094113172439859,1.66241784483534e-06,0.0018557113085747917,0.0,0.0,-0.0003066887058734436,0.0,0.0,-0.0003066887058734436,7.212544315792993e-05,0.0,0.0
550.0,4,0.0007413322160228965,3.574457412300706e-07,0.9999999999988397,1.5594056830721815e-15,0.00027460422387184984,1.6197980456933436e-16,-3.0531133177191805e-16,-1.1102230246251565e-16,0.0,0.0,0.0,-0.0,-0.0010235792234185022,0.0007739139821049237,0.00010664376398225815,0.00018659470545329202,-0.0,-0.0,9.435173464343603e-05,-0.0,-0.00014261424359063074,0.00014261424359062868,-0.00010664376398225821,0.0008562952488829527,-0.00014261424359062868,-0.0,-0.0,-6.69020102863e-05,0.0,-0.00018659470545329202,0.0,0.0,0.0,0.0,0.0002746042238720042,0.0,0.0,0.0,0.0,0.0229064951313077,0.0,0.0,0.03557464528125167,-0.7057565642141698,-0.0011467410260299084,0.011605241219170585,0.0,-0.021423136858686655,-0.021423136858687648,0.0,0.0,0.021423136858687648,0.0011467410260299084,-0.7056741829475943,-0.009774482671690843,0.0,-0.0229064951313077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002746042238720042,0.0,-0.001031456019486957,0.0,0.0,-0.001031456019486957,0.0,0.0,-0.00021736637617728854,5.3501946855386436e-05,-0.0013553615220184604,0.0,0.0,0.0002746042238720042,0.0,0.0,0.0002746042238720042,-7.739818156808927e-05,0.0,0.0
550.0,5,1.3356600871294257e-06,1.1603159881741683e-12,1.0,4.4775660970685535e-12,-3.974898268615034e-05,7.366619233427308e-13,6.660470786012951e-15,-3.675879045594854e-15,1.1102230246251565e-16,0.0,0.0,0.0,-0.011278802241916722,-0.0005118843838362175,-0.00440004438409697,0.004185022631770084,0.0,0.0,0.002094602973427325,0.0,-0.0001318907219461034,0.00013189072194891795,0.004400044384096971,-0.0005238088797327255,-0.00013189072194891795,0.0,0.0,-6.623004605150894e-06,0.0,-0.0041850226317700825,0.0,0.0,0.0,0.0,-3.9748982189729653e-05,0.0,0.0,0.0,0.0,0.6431053488348575,0.0,0.0,0.2574103546515802,0.029948626126849596,-0.007621344747779311,0.32153505847173397,0.0,0.0004913546838242024,0.0004913546833550502,0.0,0.0,-0.0004913546833550502,0.007621344747779311,0.0299367014165578,0.012864878351259643,0.0,-0.6431053488348575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9748982189729653e-05,0.0,0.0005434911793295893,0.0,0.0,0.0005434911793295893,0.0,0.0,0.0025170862094180285,0.000455659022312694,-0.029958708806273483,0.0,0.0,-3.9748982189729653e-05,0.0,0.0,-3.97489821897302e-05,-8.596082912278148e-05,0.0,0.0
550.0,6,8.370882044377929e-09,4.557501542096632e-17,1.0,1.891249643719524e-10,-0.15132057632428417,3.774796074284439e-11,1.1703411372345537e-13,-1.1735650632164162e-13,-7.060324547225605e-16,1.1102230246251565e-16,0.0,-6.938893903907228e-18,0.536250818712547,-0.11089139576271206,0.0037832662119334994,0.001220095022813865,0.0,0.0,3.807680026286094e-05,0.0,0.06337737818901289,-0.06337737818728965,-0.003783266211933577,-0.15628758560920714,0.06337737818728965,0.0,0.0,0.031696222704782624,0.0,-0.001220095022813864,0.0,0.0,0.0,0.0,-0.15132057630254434,0.0,0.0,0.0,0.0,0.006924453803543018,0.0,0.0,0.0014697481340775415,0.022583525756343877,0.002280938411537048,-0.013490065044684255,0.0,-0.024108254607267773,-0.02410825432203463,0.0,0.0,0.02410825432203463,-0.0022809384115370494,-0.022812623591924867,-0.011276985862735357,0.0,-0.006924453803542995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15132057630254434,0.0,0.45245412729734374,0.0,0.0,0.45245412729734374,0.0,0.0,0.3634021453622096,0.04437165234454295,0.007369272508075416,0.0,0.0,-0.15132057630254434,0.0,0.0,-0.15132057630254434,0.03782882406533889,0.0,0.0
550.0,7,4.5623992813229025e-09,1.353851280653401e-17,1.0,4.0469736685174726e-10,0.12611522590255694,4.9092367075651313e-11,1.5279259469111331e-13,-1.6054697549422025e-13,-1.4029576111962427e-15,2.220446049250313e-16,0.0,-5.551115123125783e-17,0.7025729649167676,0.31883975175309254,0.1994323244462686,-0.009620735550510627,0.0,0.0,-0.004450097281075832,0.0,-0.011399537646157738,0.011399537644141366,-0.19943232444626863,0.35667428118594985,-0.011399537644141366,0.0,0.0,-0.005764712766158118,0.0,0.009620735550510623,0.0,0.0,0.0,0.0,0.12611522594483934,0.0,0.0,0.0,0.0,0.007882586726443605,0.0,0.0,0.003565618179472931,-0.018477884428714706,0.01091323202545753,0.008314638712180945,0.0,0.004312558075290409,0.0043125576367540825,0.0,0.0,-0.0043125576367540825,-0.010913232025457523,0.019356660559526194,-0.016019683553862966,0.0,-0.007882586726443661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12611522594483934,0.0,-0.08259226212018798,0.0,0.0,-0.08259226212018798,0.0,0.0,-0.3061948446249868,-0.041037730684817426,0.0792371603941288,0.0,0.0,0.12611522594483934,0.0,0.0,0.12611522594483932,-0.03134360990964257,0.0,0.0
550.0,8,5.489386943202329e-10,1.9598916821522278e-19,1.0,1.3243334428232197e-09,0.05495473491068057,4.334217845952276e-10,2.0973121351583366e-12,-2.017493824030893e-12,2.927701619548709e-14,-1.700029006457271e-16,-3.608224830031759e-16,1.1102230246251565e-16,-0.1148115774498013,0.30548938738676434,-0.5036487009440553,-0.019574623135844023,0.0,0.0,-0.009685275267584708,0.0,0.041863155894539,-0.0418631558936308,0.5036487009440549,0.3219753499979346,0.0418631558936308,0.0,0.0,0.02078675321985827,0.0,0.01957462313584418,0.0,0.0,0.0,0.0,0.05495473509667742,0.0,0.0,0.0,0.0,0.0013437502023171029,0.0,0.0,0.00044425807253013685,-0.008413468131406292,-0.0001756328258644843,-0.006066850023813698,0.0,0.006251757137454946,0.006251757095498992,0.0,0.0,-0.006251757095498992,0.00017563282586446267,0.008072866335341534,-0.0342557618758728,0.0,-0.0013437502023168513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05495473509667742,0.0,0.29590460487103243,0.0,0.0,0.29590460487103243,0.0,0.0,-0.24247176841867327,0.06198901891096023,0.1463360599714551,0.0,0.0,0.05495473509667742,0.0,0.0,0.054954735096677004,-0.014717862889138091,0.0,0.0
