Q,anchor_index,anchor_s,phase_index,loop_phase,s_value,anchor_closure_relative,matrix_frobenius_norm,B_0_0,B_0_1,B_0_2,B_0_3,B_0_4,B_0_5,B_0_6,B_0_7,B_0_8,B_1_0,B_1_1,B_1_2,B_1_3,B_1_4,B_1_5,B_1_6,B_1_7,B_1_8,B_2_0,B_2_1,B_2_2,B_2_3,B_2_4,B_2_5,B_2_6,B_2_7,B_2_8,B_3_0,B_3_1,B_3_2,B_3_3,B_3_4,B_3_5,B_3_6,B_3_7,B_3_8,B_4_0,B_4_1,B_4_2,B_4_3,B_4_4,B_4_5,B_4_6,B_4_7,B_4_8,B_5_0,B_5_1,B_5_2,B_5_3,B_5_4,B_5_5,B_5_6,B_5_7,B_5_8,B_6_0,B_6_1,B_6_2,B_6_3,B_6_4,B_6_5,B_6_6,B_6_7,B_6_8,B_7_0,B_7_1,B_7_2,B_7_3,B_7_4,B_7_5,B_7_6,B_7_7,B_7_8,B_8_0,B_8_1,B_8_2,B_8_3,B_8_4,B_8_5,B_8_6,B_8_7,B_8_8
522.25,4,1167.777520408083,18,0.075,1167.7942912414164,7.412524233344617e-05,62.93211854767062,0.0,12.566381914822434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878336272262736,-3.7698920444532398,12.165665556385505,0.07726833584069728,0.0,0.0,0.038634202662567854,0.0,-2.900688826914923e-06,2.9006888269149234e-06,-12.165665556385505,2.2529993490583896e-05,-2.9006888269149234e-06,0.0,0.0,-1.4503457176963327e-06,0.0,-0.07726833584069728,0.0,0.0,0.0,0.0,12.566381914822434,0.0,0.0,0.0,0.0,15.740704219443794,0.0,0.0,-35.95313355644635,-3.769879735673039,0.3991153141860354,7.8703591872264225,0.0,-0.0005909132681626182,-0.0005909132681626183,0.0,0.0,0.0005909132681626183,-0.3991153141860354,3.483877369091623e-05,-0.0002954568997740807,0.0,-15.740704219443794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566381914822434,0.0,-1.9668232648514445e-05,0.0,0.0,-1.9668232648514445e-05,0.0,0.0,-30.159316595659888,-3.769914574485207,-0.5239209361504376,0.0,0.0,12.566381914822434,0.0,0.0,12.566381914822434,-3.141595478703068,0.0,0.0
522.25,4,1167.777520408083,19,0.07916666666666666,1167.7952229543794,7.412524233344617e-05,62.93211901068079,0.0,12.566381794654028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878335482571581,-3.7698920558371873,12.165665625709828,0.07726833534176546,0.0,0.0,0.0386342020436555,0.0,-2.844763499040015e-06,2.8447634990400152e-06,-12.165665625709828,2.2482559020828444e-05,-2.8447634990400152e-06,0.0,0.0,-1.4223830150113492e-06,0.0,-0.07726833534176544,0.0,0.0,0.0,0.0,12.566381794654028,0.0,0.0,0.0,0.0,15.740704321930727,0.0,0.0,-35.953135124977685,-3.769880351748071,0.39910076587320764,7.870359163208269,0.0,-0.000579520458233633,-0.000579520458233633,0.0,0.0,0.000579520458233633,-0.39910076587320764,3.418664813733662e-05,-0.0002897604869161459,0.0,-15.740704321930727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566381794654028,0.0,-1.9289028210252786e-05,0.0,0.0,-1.9289028210252786e-05,0.0,0.0,-30.15931630725307,-3.76991453843488,-0.5239209166841258,0.0,0.0,12.566381794654028,0.0,0.0,12.566381794654028,-3.14159544866102,0.0,0.0
522.25,4,1167.777520408083,20,0.08333333333333333,1167.7961546673423,7.412524233344617e-05,62.93211935487733,0.0,12.566381665453537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.87833469680397,-3.7698920827365696,12.165665689345632,0.07726833494781596,0.0,0.0,0.03863420144946609,0.0,-2.786548119648548e-06,2.7865481196485482e-06,-12.165665689345632,2.2416899491385605e-05,-2.7865481196485482e-06,0.0,0.0,-1.393275285093689e-06,0.0,-0.07726833494781596,0.0,0.0,0.0,0.0,12.566381665453537,0.0,0.0,0.0,0.0,15.740704403048383,0.0,0.0,-35.95313651188607,-3.7698809928367214,0.3990875294304682,7.870359122848657,0.0,-0.000567661129049577,-0.000567661129049577,0.0,0.0,0.000567661129049577,-0.3990875294304682,3.3506799339788296e-05,-0.0002838308141303182,0.0,-15.740704403048383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566381665453537,0.0,-1.8894296005137115e-05,0.0,0.0,-1.8894296005137115e-05,0.0,0.0,-30.159315997169145,-3.7699144996748513,-0.5239208976991393,0.0,0.0,12.566381665453537,0.0,0.0,12.566381665453537,-3.1415954163609547,0.0,0.0
522.25,4,1167.777520408083,21,0.0875,1167.7970863803052,7.412524233344617e-05,62.93211961036035,0.0,12.566381529503747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878333913938796,-3.769892121223167,12.165665748735725,0.07726833463223384,0.0,0.0,0.03863420087371031,0.0,-2.7266207006347318e-06,2.726620700634732e-06,-12.165665748735725,2.233762795703077e-05,-2.726620700634732e-06,0.0,0.0,-1.363311534487172e-06,0.0,-0.07726833463223384,0.0,0.0,0.0,0.0,12.566381529503747,0.0,0.0,0.0,0.0,15.740704468208198,0.0,0.0,-35.953137763211984,-3.7698816526271455,0.39907527217351096,7.870359070283017,0.0,-0.0005554530306608384,-0.0005554530306608384,0.0,0.0,0.0005554530306608384,-0.39907527217351096,3.280622397831908e-05,-0.00027772675656335163,0.0,-15.740704468208198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566381529503747,0.0,-1.8487955268790717e-05,0.0,0.0,-1.8487955268790717e-05,0.0,0.0,-30.1593156708868,-3.7699144588899727,-0.5239208790728179,0.0,0.0,12.566381529503747,0.0,0.0,12.566381529503747,-3.1415953823735663,0.0,0.0
522.25,4,1167.777520408083,22,0.09166666666666666,1167.7980180932682,7.412524233344617e-05,62.93211988946456,0.0,12.56638139534875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878333130290476,-3.76989215662585,12.16566580925679,0.0772683342957287,0.0,0.0,0.038634200293010935,0.0,-2.6671481723776273e-06,2.6671481723776273e-06,-12.16566580925679,2.226197877518361e-05,-2.6671481723776273e-06,0.0,0.0,-1.3335752302929016e-06,0.0,-0.07726833429572869,0.0,0.0,0.0,0.0,12.56638139534875,0.0,0.0,0.0,0.0,15.740704537605005,0.0,0.0,-35.95313905063429,-3.7698823074482255,0.39906275410027403,7.870359020959954,0.0,-0.000543337600351638,-0.000543337600351638,0.0,0.0,0.000543337600351638,-0.39906275410027403,3.211115639982232e-05,-0.0002716690332467733,0.0,-15.740704537605005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.56638139534875,0.0,-1.808469896356077e-05,0.0,0.0,-1.808469896356077e-05,0.0,0.0,-30.15931534891202,-3.769914418643531,-0.5239208603503807,0.0,0.0,12.56638139534875,0.0,0.0,12.56638139534875,-3.1415953488348753,0.0,0.0
522.25,4,1167.777520408083,23,0.09583333333333333,1167.7989498062313,7.412524233344617e-05,62.93212017036599,0.0,12.566381261349118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878332346676678,-3.769892191785298,12.165665869858133,0.0772683339576022,0.0,0.0,0.03863419971197852,0.0,-2.6077182313220726e-06,2.6077182313220726e-06,-12.165665869858133,2.2186619437850718e-05,-2.6077182313220726e-06,0.0,0.0,-1.3038602203684778e-06,0.0,-0.0772683339576022,0.0,0.0,0.0,0.0,12.566381261349118,0.0,0.0,0.0,0.0,15.740704607312876,0.0,0.0,-35.953140340686915,-3.769882961803944,0.39905021734081464,7.870358971889726,0.0,-0.0005312308454957519,-0.0005312308454957519,0.0,0.0,0.0005312308454957519,-0.39905021734081464,3.141660079109757e-05,-0.0002656156477931516,0.0,-15.740704607312876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566381261349118,0.0,-1.7681731447946657e-05,0.0,0.0,-1.7681731447946657e-05,0.0,0.0,-30.159315027310136,-3.7699143784436866,-0.5239208416224931,0.0,0.0,12.566381261349118,0.0,0.0,12.566381261349118,-3.1415953153350245,0.0,0.0
522.25,4,1167.777520408083,24,0.1,1167.7998815191943,7.412524233344617e-05,62.932120450761566,0.0,12.566381127272518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878331562889277,-3.76989222702898,12.165665930446657,0.07726833361985656,0.0,0.0,0.03863419913089992,0.0,-2.5482623592755917e-06,2.5482623592755917e-06,-12.165665930446657,2.211115277517698e-05,-2.5482623592755917e-06,0.0,0.0,-1.2741322455636617e-06,0.0,-0.07726833361985655,0.0,0.0,0.0,0.0,12.566381127272518,0.0,0.0,0.0,0.0,15.74070467692488,0.0,0.0,-35.95314163016548,-3.7698836164440244,0.3990376838893923,7.870358922723358,0.0,-0.0005191188078938072,-0.0005191188078938072,0.0,0.0,0.0005191188078938072,-0.3990376838893923,3.0721737730358965e-05,-0.0002595596210917996,0.0,-15.74070467692488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566381127272518,0.0,-1.7278588131391285e-05,0.0,0.0,-1.7278588131391285e-05,0.0,0.0,-30.15931470552353,-3.7699143382207385,-0.5239208228920229,0.0,0.0,12.566381127272518,0.0,0.0,12.566381127272518,-3.1415952818159307,0.0,0.0
522.25,4,1167.777520408083,25,0.10416666666666667,1167.8008132321572,7.412524233344617e-05,62.93212073507379,0.0,12.566380993478198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878330778896738,-3.769892261768661,12.165665991227169,0.07726833327859661,0.0,0.0,0.038634198548931964,0.0,-2.4888755681011322e-06,2.4888755681011322e-06,-12.165665991227169,2.2036274798036818e-05,-2.4888755681011322e-06,0.0,0.0,-1.244438811885699e-06,0.0,-0.07726833327859661,0.0,0.0,0.0,0.0,12.566380993478198,0.0,0.0,0.0,0.0,15.74070474723326,0.0,0.0,-35.953142925702366,-3.769884270330727,0.39902510630426125,7.870358874081966,0.0,-0.0005070208429218743,-0.0005070208429218743,0.0,0.0,0.0005070208429218743,-0.39902510630426125,3.0027712732356016e-05,-0.00025351063084618814,0.0,-15.74070474723326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566380993478198,0.0,-1.6875913245746695e-05,0.0,0.0,-1.6875913245746695e-05,0.0,0.0,-30.15931438441443,-3.7699142980824627,-0.5239208041436539,0.0,0.0,12.566380993478198,0.0,0.0,12.566380993478198,-3.141595248367406,0.0,0.0
522.25,4,1167.777520408083,26,0.10833333333333334,1167.8017449451202,7.412524233344617e-05,62.93212097147327,0.0,12.5663808563797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878329998164026,-3.769892302607003,12.165666049612426,0.0772683329798344,0.0,0.0,0.038634197978054535,0.0,-2.428706335386886e-06,2.428706335386886e-06,-12.165666049612426,2.195430690665089e-05,-2.428706335386886e-06,0.0,0.0,-1.2143541574318737e-06,0.0,-0.07726833297983439,0.0,0.0,0.0,0.0,12.5663808563797,0.0,0.0,0.0,0.0,15.74070480887565,0.0,0.0,-35.95314414612867,-3.7698849327404407,0.39901307798915503,7.870358819038162,0.0,-0.0004947634822502035,-0.0004947634822502035,0.0,0.0,0.0004947634822502035,-0.39901307798915503,2.9324173469215255e-05,-0.00024738194274949145,0.0,-15.74070480887565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5663808563797,0.0,-1.6467933009840394e-05,0.0,0.0,-1.6467933009840394e-05,0.0,0.0,-30.159314055375273,-3.7699142569528954,-0.523920785627323,0.0,0.0,12.5663808563797,0.0,0.0,12.5663808563797,-3.141595214092838,0.0,0.0
522.25,4,1167.777520408083,27,0.1125,1167.802676658083,7.412524233344617e-05,62.93212113537939,0.0,12.566380714279692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878329222351843,-3.769892352673638,12.165666104374376,0.07726833274539062,0.0,0.0,0.038634197423959675,0.0,-2.367351985163089e-06,2.367351985163089e-06,-12.165666104374376,2.186161026952419e-05,-2.367351985163089e-06,0.0,0.0,-1.1836769439321137e-06,0.0,-0.0772683327453906,0.0,0.0,0.0,0.0,12.566380714279692,0.0,0.0,0.0,0.0,15.740704857411124,0.0,0.0,-35.95314525293068,-3.7698856080560748,0.3990018805752809,7.870358754308438,0.0,-0.0004822646945786655,-0.0004822646945786655,0.0,0.0,0.0004822646945786655,-0.3990018805752809,2.860622783228702e-05,-0.0002411325410935471,0.0,-15.740704857411124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566380714279692,0.0,-1.6051917064215334e-05,0.0,0.0,-1.6051917064215334e-05,0.0,0.0,-30.159313714332452,-3.769914214322824,-0.5239207674619448,0.0,0.0,12.566380714279692,0.0,0.0,12.566380714279692,-3.141595178567894,0.0,0.0
522.25,4,1167.777520408083,28,0.11666666666666667,1167.803608371046,7.412524233344617e-05,62.93212124332406,0.0,12.566380568320922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.878328450348548,-3.7698924098630067,12.165666156338704,0.07726833256058502,0.0,0.0,0.03863419688282052,0.0,-2.305083778886603e-06,2.3050837788866033e-06,-12.165666156338704,2.1760633269328088e-05,-2.3050837788866033e-06,0.0,0.0,-1.1525428023838114e-06,0.0,-0.077268332560585,0.0,0.0,0.0,0.0,12.566380568320922,0.0,0.0,0.0,0.0,15.740704895825825,0.0,0.0,-35.9531462720067,-3.7698862933245563,0.3989913246975689,7.870358682101571,0.0,-0.00046957974012393184,-0.00046957974012393184,0.0,0.0,0.00046957974012393184,-0.3989913246975689,2.7877171719825155e-05,-0.00023479005604148267,0.0,-15.740704895825825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566380568320922,0.0,-1.5629704708633823e-05,0.0,0.0,-1.5629704708633823e-05,0.0,0.0,-30.159313364028577,-3.7699141705350803,-0.5239207495676321,0.0,0.0,12.566380568320922,0.0,0.0,12.566380568320922,-3.141595142078259,0.0,0.0
522.25,4,1167.777520408083,29,0.12083333333333333,1167.804540084009,7.412524233344617e-05,62.93212134874546,0.0,12.5663804221745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.8783276784492635,-3.7698924673799343,12.165666208180975,0.07726833237796188,0.0,0.0,0.03863419634219568,0.0,-2.2427688400069033e-06,2.2427688400069033e-06,-12.165666208180975,2.1659272415696114e-05,-2.2427688400069033e-06,0.0,0.0,-1.1213852952221648e-06,0.0,-0.07726833237796188,0.0,0.0,0.0,0.0,12.5663804221745,0.0,0.0,0.0,0.0,15.740704933776039,0.0,0.0,-35.9531472871923,-3.769886979105084,0.3989807969294969,7.870358609544931,0.0,-0.00045688526539605656,-0.00045688526539605656,0.0,0.0,0.00045688526539605656,-0.3989807969294969,2.7147547265458312e-05,-0.0002284428109930567,0.0,-15.740704933776039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5663804221745,0.0,-1.5207175507632731e-05,0.0,0.0,-1.5207175507632731e-05,0.0,0.0,-30.159313013274367,-3.769914126691027,-0.5239207316836765,0.0,0.0,12.5663804221745,0.0,0.0,12.5663804221745,-3.1415951055417115,0.0,0.0
